pair,p_raw,p_fdr,effect_rbc
person vs text,0.09420814479638011,0.5333333333333333,-0.5918367346938775
meme vs text,0.11428571428571428,0.5333333333333333,-0.8333333333333334
text vs person_text,0.08484848484848484,0.5333333333333333,0.75
person vs ort_text,0.09820448992863254,0.5333333333333333,-0.35147392290249435
person vs meme_text,0.09997312566559761,0.5333333333333333,-0.29154518950437314
ort_text vs person_text,0.113944878650761,0.5333333333333333,0.4722222222222223
meme_text vs person_text,0.14503549426150047,0.5513071895424837,0.3928571428571428
meme vs meme_text,0.15751633986928104,0.5513071895424837,-0.5
meme vs ort,0.1775025799793602,0.5522302488246762,-0.46875
meme vs ort_text,0.1986013986013986,0.5560839160839162,-0.5
ort vs person_text,0.31962919000205303,0.7458014433381237,0.265625
ort vs text,0.303405572755418,0.7458014433381237,-0.41666666666666663
ort vs ort_text,0.35023758481899414,0.7543578749947566,-0.23611111111111116
text vs meme_text,0.4323529411764706,0.7566176470588235,0.33333333333333326
ort vs person,0.42399898961642446,0.7566176470588235,0.13520408163265296
person vs politik_text,0.40615384615384614,0.7566176470588235,-0.30612244897959184
meme vs person,0.46351916673781274,0.7634433334505151,-0.23469387755102045
ort vs meme_text,0.5466597306783725,0.7653236229497214,-0.1339285714285714
person vs person_text,0.5197294541905794,0.7653236229497214,0.1479591836734695
politik_text vs person_text,0.496969696969697,0.7653236229497214,0.33333333333333326
meme vs politik_text,0.6285714285714286,0.8102202596264011,-0.33333333333333337
meme_text vs ort_text,0.6366016325636008,0.8102202596264011,-0.12698412698412698
ort vs politik_text,0.7120743034055728,0.8668730650154799,-0.16666666666666663
text vs ort_text,1.0,1.0,0.03703703703703698
text vs politik_text,1.0,1.0,0.11111111111111116
meme vs person_text,0.9333333333333333,1.0,-0.0625
meme_text vs politik_text,0.9529411764705883,1.0,-0.04761904761904767
ort_text vs politik_text,0.8636363636363636,1.0,0.11111111111111116
