pair,p_raw,p_fdr,effect_rbc
meme vs meme_text,0.00784313725490196,0.2196078431372549,-0.8571428571428572
meme vs person_text,0.028282828282828285,0.39595959595959596,-0.8125
meme vs person,0.04612994109109536,0.43054611685022337,-0.6020408163265306
ort vs meme_text,0.06432948333813376,0.45030638336693635,-0.4017857142857143
meme vs ort,0.09948400412796699,0.45714285714285713,-0.5625
meme vs ort_text,0.1062937062937063,0.45714285714285713,-0.6111111111111112
meme vs politik_text,0.11428571428571428,0.45714285714285713,-0.8333333333333334
meme vs text,0.22857142857142856,0.6399999999999999,-0.6666666666666667
ort vs person_text,0.2143932255656579,0.6399999999999999,-0.328125
person vs meme_text,0.21195640177259656,0.6399999999999999,-0.22157434402332365
ort vs person,0.2829939746797747,0.7079463364293087,-0.18112244897959184
ort vs politik_text,0.303405572755418,0.7079463364293087,-0.41666666666666663
ort vs ort_text,0.35023758481899414,0.7543578749947566,-0.23611111111111116
meme_text vs ort_text,0.4688006174372942,0.9376012348745884,0.19047619047619047
person vs person_text,0.534559937015688,0.9776772247360483,-0.1428571428571429
person vs politik_text,0.6285067873303168,0.9776772247360483,-0.18367346938775508
person vs text,0.6018099547511313,0.9776772247360483,-0.19727891156462585
ort vs text,0.5593395252837977,0.9776772247360483,-0.25
ort_text vs person_text,0.9625668449197862,1.0,-0.02777777777777779
text vs meme_text,0.9529411764705883,1.0,-0.04761904761904767
text vs ort_text,0.7272727272727273,1.0,0.18518518518518512
text vs politik_text,1.0,1.0,-0.11111111111111116
text vs person_text,1.0,1.0,0.0
meme_text vs politik_text,0.9529411764705883,1.0,0.04761904761904767
meme_text vs person_text,0.8675548050161054,1.0,0.0535714285714286
ort_text vs politik_text,0.7272727272727273,1.0,-0.18518518518518523
person vs ort_text,0.7966328815514021,1.0,-0.05668934240362811
politik_text vs person_text,1.0,1.0,0.0
