trial_id,participant_id,image_id,duration_s,valid_pct,n_fix,mean_fix_dur,first_fix_latency,mean_sacc_amp,pupil_mean_0p5_2s
P01_IMG001_10100,P01,IMG001,5.8,1.0,15,303.33333333333326,0.0,0.32288487446263003,0.3702111985948351
P01_IMG002_10100,P01,IMG002,6.966666666666667,1.0,19,324.5614035087721,0.0,0.19405156859649628,0.15630030370020612
P01_IMG003_10000,P01,IMG003,5.95,1.0,13,401.28205128205093,0.0,0.24264767672484022,0.22029773487764245
P01_IMG004_10100,P01,IMG004,6.2333333333333325,1.0,17,283.3333333333332,0.0,0.25491440664526527,0.33401120364011
P01_IMG005_10100,P01,IMG005,5.466666666666668,1.0,18,257.40740740740756,0.0,0.2220615069612142,0.20190547062800496
P01_IMG006_10000,P01,IMG006,5.566666666666668,1.0,17,260.7843137254908,0.0,0.25775639371919307,-0.5919871906657794
P01_IMG007_10000,P01,IMG007,5.416666666666664,1.0,10,456.66666666666714,0.0,0.3759550550145982,-0.000750950404575805
P01_IMG008_10100,P01,IMG008,7.483333333333328,1.0,14,485.71428571428777,0.0,0.30228634497982826,0.19893193506932522
P01_IMG009_10100,P01,IMG009,5.35,1.0,13,356.4102564102566,0.0,0.2520867768608775,-0.18313112363710507
P01_IMG010_10000,P01,IMG010,7.566666666666672,1.0,16,442.70833333333394,0.0,0.11413023554081844,0.11715362884186052
P01_IMG011_01001,P01,IMG011,8.61666666666667,1.0,27,249.38271604938254,0.0,0.24777966665389622,-0.883169237073961
P01_IMG012_01001,P01,IMG012,8.7,1.0,29,252.29885057471282,16.666666666671517,0.21983750862395532,-0.30454849410843066
P01_IMG013_01001,P01,IMG013,5.05,1.0,18,226.8518518518516,33.33333333332848,0.20555110850059344,-0.5915134066627138
P01_IMG014_01000,P01,IMG014,13.933333333333342,1.0,36,338.42592592592456,0.0,0.1758528552899206,-0.08138141003283816
P01_IMG015_01001,P01,IMG015,7.216666666666671,1.0,24,259.0277777777774,0.0,0.11252471854896083,-0.6722494272085335
P01_IMG016_01001,P01,IMG016,15.05,1.0,49,245.91836734693936,0.0,0.1636616838923195,-0.09889762346134627
P01_IMG017_01001,P01,IMG017,5.6,1.0,22,200.75757575757797,0.0,0.20619159999981834,0.11061062655606116
P01_IMG018_01000,P01,IMG018,7.683333333333328,1.0,19,335.08771929824434,0.0,0.19127624408918564,-1.0626061602336605
P01_IMG019_01000,P01,IMG019,5.183333333333314,1.0,7,699.9999999999917,0.0,0.1774359381931311,0.20454280979030742
P01_IMG020_01000,P01,IMG020,8.766666666666657,1.0,23,327.5362318840584,0.0,0.17167854363981785,0.33251600999098563
P01_IMG021_01000,P01,IMG021,9.9,1.0,31,269.8924731182764,0.0,0.1752599189485094,-0.5849005381266276
P01_IMG022_01000,P01,IMG022,7.4,1.0,14,472.6190476190469,0.0,0.22092867671525251,-0.23610049977022052
P01_IMG023_01000,P01,IMG023,4.983333333333343,1.0,12,338.8888888888808,0.0,0.2839704125012016,-1.0522719982058504
P01_IMG024_01000,P01,IMG024,9.233333333333343,1.0,21,398.4126984127007,0.0,0.1513610321069782,0.02545685820527133
P01_IMG025_01000,P01,IMG025,10.133333333333344,1.0,27,319.75308641975454,0.0,0.16710795202867412,-0.05390032599954022
P01_IMG026_01000,P01,IMG026,11.7,1.0,31,329.03225806451144,0.0,0.16323570033690965,-0.1818683330829325
P01_IMG027_01000,P01,IMG027,8.900000000000029,1.0,19,375.43859649123317,0.0,0.2181769695266445,-0.07452107523823824
P01_IMG028_01000,P01,IMG028,10.916666666666657,1.0,23,434.05797101449315,16.666666666656965,0.15814424820340098,-1.2266963285558363
P01_IMG029_01000,P01,IMG029,8.15,1.0,21,333.3333333333333,0.0,0.22837581516598643,-0.24780038686899022
P01_IMG030_01000,P01,IMG030,11.7,1.0,28,358.92857142857036,0.0,0.15736029998007345,-0.12763172191577943
P01_IMG031_01000,P01,IMG031,8.25,1.0,23,314.49275362317996,0.0,0.18695614448937786,-0.0729387723482571
P01_IMG032_01000,P01,IMG032,10.033333333333314,1.0,26,338.46153846153624,33.33333333331393,0.17832537507297755,-0.7183764950259701
P01_IMG033_00101,P01,IMG033,15.04999999999997,1.0,53,227.35849056603993,0.0,0.19531155561107927,-0.3613480159214563
P01_IMG034_00100,P01,IMG034,15.05,1.0,33,412.6262626262632,0.0,0.1384183604397265,-0.1666471791821856
P01_IMG035_00100,P01,IMG035,7.483333333333314,1.0,17,398.03921568627567,0.0,0.16305227715895743,0.17417413061791737
P01_IMG036_00100,P01,IMG036,6.8333333333333135,1.0,17,350.9803921568673,0.0,0.16155335491376066,-0.4322055355533137
P01_IMG037_00100,P01,IMG037,5.3333333333333135,1.0,18,250.92592592592052,0.0,0.17269183989104886,-0.3689607892717633
P01_IMG038_00100,P01,IMG038,5.6,1.0,17,280.3921568627291,0.0,0.12223385107938065,-0.8539412049041397
P01_IMG039_00100,P01,IMG039,11.066666666666686,1.0,22,450.75757575757666,0.0,0.18811817566637742,0.07201301658546545
P01_IMG040_00100,P01,IMG040,6.783333333333314,1.0,21,279.3650793650886,0.0,0.206480829591091,0.2404048207041982
P01_IMG041_00100,P01,IMG041,6.5,1.0,20,281.66666666666276,0.0,0.19058231717447358,0.13170707618797148
P01_IMG042_00100,P01,IMG042,5.883333333333372,1.0,14,352.38095238095514,0.0,0.21859265171744263,0.3103496844951924
P01_IMG043_00100,P01,IMG043,8.7,1.0,21,354.76190476191584,0.0,0.3000605456456242,0.2860646994717151
P01_IMG044_00100,P01,IMG044,5.3333333333333135,1.0,12,391.6666666666667,66.66666666668607,0.18814210976656962,0.14736309680309928
P01_IMG045_00100,P01,IMG045,6.766666666666686,1.0,20,285.0000000000029,0.0,0.30466118007361653,-0.011958782489483018
P01_IMG046_00100,P01,IMG046,6.3,1.0,9,605.555555555562,50.0,0.17251332574394496,0.2680583059051892
P01_IMG047_00100,P01,IMG047,5.033333333333314,1.0,12,376.3888888888905,0.0,0.1862649676729269,0.1715272337525757
P01_IMG048_00100,P01,IMG048,7.933333333333314,1.0,22,304.5454545454519,0.0,0.1790073198520005,0.14861440134572468
P01_IMG049_00100,P01,IMG049,5.9166666666666865,1.0,16,302.08333333333576,0.0,0.24391724107711757,-0.48587001843398875
P01_IMG050_00100,P01,IMG050,5.2333333333333725,1.0,16,280.2083333333285,0.0,0.2306094596644432,-0.20233330359825705
P01_IMG051_00100,P01,IMG051,9.583333333333373,1.0,21,407.93650793651165,0.0,0.1958286533392129,0.022568000541938627
P01_IMG052_00100,P01,IMG052,5.883333333333372,1.0,18,287.0370370370381,0.0,0.17082178030479622,0.25901769281743653
P01_IMG053_00100,P01,IMG053,5.366666666666628,1.0,15,301.11111111110466,50.0,0.17281987405653323,0.07195823137150256
P01_IMG054_00100,P01,IMG054,8.516666666666685,1.0,21,338.88888888888704,0.0,0.19219680443444748,0.05873236598738707
P01_IMG055_00100,P01,IMG055,6.4166666666666865,1.0,19,299.1228070175459,0.0,0.2050291176199987,-0.587192661159641
P01_IMG056_00100,P01,IMG056,6.0833333333333135,1.0,18,295.37037037037794,0.0,0.17293712085628885,0.28432070553957683
P01_IMG057_00100,P01,IMG057,5.5833333333333135,1.0,19,224.56140350877294,0.0,0.23393702616630352,-0.18911689309512858
P01_IMG058_00100,P01,IMG058,11.65,1.0,22,484.09090909090645,0.0,0.23382163342916243,0.12391880580357065
P01_IMG059_00100,P01,IMG059,9.583333333333373,1.0,22,393.18181818182876,0.0,0.18846021104999192,-0.18419936607623918
P01_IMG060_00100,P01,IMG060,8.366666666666687,1.0,25,281.33333333333957,0.0,0.16374968801029993,0.31790951320103245
P01_IMG061_00100,P01,IMG061,6.316666666666628,1.0,17,325.49019607843707,0.0,0.13748491161667808,-0.1253722753280248
P01_IMG062_00100,P01,IMG062,6.35,1.0,16,328.125,0.0,0.20373895919989965,-0.16965429466890988
P01_IMG063_00100,P01,IMG063,9.9,1.0,26,312.82051282050986,33.33333333331393,0.24477418829053174,-0.448636484670115
P01_IMG064_00100,P01,IMG064,8.316666666666627,1.0,21,341.26984126983666,0.0,0.21947431266629375,0.4054987980769231
P01_IMG065_00100,P01,IMG065,6.033333333333314,1.0,12,369.44444444445253,0.0,0.12727912612642633,-0.17040331610317888
P01_IMG066_00100,P01,IMG066,11.833333333333314,1.0,27,385.18518518518516,100.0,0.1852924367708987,-0.006695925534426413
P01_IMG067_00100,P01,IMG067,6.05,1.0,12,444.44444444443315,66.66666666668607,0.2078522332055803,0.20575722982717123
P01_IMG068_00100,P01,IMG068,5.3,1.0,12,387.5000000000097,0.0,0.17058829634866737,0.016313311697422818
P01_IMG069_00100,P01,IMG069,5.966666666666628,1.0,17,299.01960784312587,0.0,0.166483006885484,0.3303630116221669
P01_IMG070_00100,P01,IMG070,5.2,1.0,15,301.11111111110074,0.0,0.21373667532444335,-0.009552169632125618
P01_IMG071_00100,P01,IMG071,13.316666666666627,1.0,29,403.44827586206895,0.0,0.1695930486079246,-0.017577947572220174
P01_IMG072_00100,P01,IMG072,7.216666666666744,1.0,19,342.9824561403672,0.0,0.14715682705360877,-0.5182366842751974
P01_IMG073_00100,P01,IMG073,5.4833333333333725,1.0,14,329.7619047619269,16.66666666662786,0.17695051413209256,0.6321755801930147
P01_IMG074_00101,P01,IMG074,7.9833333333333725,1.0,22,325.00000000002115,0.0,0.16047312904700076,0.300721891633757
P01_IMG075_00100,P01,IMG075,7.216666666666628,1.0,20,309.1666666666686,0.0,0.2124403126540979,0.16566593044406766
P01_IMG076_00101,P01,IMG076,6.5166666666666275,1.0,17,315.68627450981535,0.0,0.11690636514284797,-0.3989908407022663
P01_IMG077_00100,P01,IMG077,7.666666666666744,1.0,17,376.47058823530097,0.0,0.23565443734208036,-0.09329969804365547
P01_IMG078_00100,P01,IMG078,6.433333333333372,1.0,18,311.11111111111757,0.0,0.18825578856933525,-0.1145618983677453
P01_IMG079_00100,P01,IMG079,10.1,1.0,23,385.5072463767998,0.0,0.20909276091156775,-0.2634461790650755
P01_IMG080_00100,P01,IMG080,5.45,1.0,15,313.3333333333411,0.0,0.2397554282021259,0.22800428788740565
P01_IMG081_00100,P01,IMG081,10.366666666666628,1.0,25,366.66666666665583,0.0,0.1519591607798371,0.17160386305588954
P01_IMG082_00101,P01,IMG082,5.883333333333372,1.0,13,397.43589743589445,0.0,0.22847396508090576,-0.41126351828103536
P01_IMG083_00100,P01,IMG083,6.666666666666744,1.0,15,384.4444444444341,0.0,0.20575961225244574,0.004472819241610465
P01_IMG084_00101,P01,IMG084,10.8,1.0,31,310.21505376344714,0.0,0.10935557402858292,0.6070765400980855
P01_IMG085_00100,P01,IMG085,5.516666666666744,1.0,13,361.53846153846155,0.0,0.18633293745745572,0.10960344336498755
P01_IMG086_00100,P01,IMG086,6.316666666666628,1.0,14,398.8095238095349,83.33333333337214,0.14415662427315443,0.3094738970746051
P01_IMG087_00101,P01,IMG087,6.966666666666628,1.0,20,299.9999999999767,0.0,0.22211032168972425,-0.48216314630194007
P01_IMG088_00111,P01,IMG088,7.833333333333372,1.0,31,205.9139784946174,0.0,0.2169885446319618,-0.31504988396304767
P01_IMG089_00110,P01,IMG089,5.9,1.0,20,225.83333333331976,66.66666666674428,0.23122125636691115,0.47779555547805075
P01_IMG090_00110,P01,IMG090,5.4,1.0,16,265.62499999998545,0.0,0.2603560118547249,-0.11680418580442986
P01_IMG091_00110,P01,IMG091,8.6,1.0,25,290.6666666666744,0.0,0.24855840996168163,-0.1538222595885559
P01_IMG092_00111,P01,IMG092,10.4,1.0,27,337.6543209876486,0.0,0.20684696013459158,-0.22620366693853017
P01_IMG093_00110,P01,IMG093,9.05,1.0,20,386.66666666665697,0.0,0.15289401530402216,0.0609151819250086
P01_IMG094_00110,P01,IMG094,5.916666666666628,1.0,18,265.7407407407429,0.0,0.25087589536907917,-0.0036879595588233884
P01_IMG095_00110,P01,IMG095,8.483333333333256,1.0,13,598.7179487179517,0.0,0.2024299689586989,0.1543608445387621
P01_IMG096_00110,P01,IMG096,5.566666666666628,1.0,14,323.8095238095266,0.0,0.28674843616212525,-0.6951048295576494
P01_IMG097_00110,P01,IMG097,6.133333333333372,1.0,17,311.7647058823461,66.66666666674428,0.23477691775287657,0.11176970764830878
P01_IMG098_00110,P01,IMG098,7.8,1.0,20,348.33333333337214,0.0,0.2029133026045304,-0.06330242785778663
P01_IMG099_00111,P01,IMG099,9.35,1.0,19,430.7017543859547,83.33333333325572,0.2215161747642796,0.24799338539878052
P01_IMG100_00111,P01,IMG100,5.183333333333372,1.0,18,238.88888888888889,0.0,0.22601612222139153,-0.42995142674708087
P01_IMG101_00110,P01,IMG101,11.1,1.0,26,375.6410256410152,0.0,0.1506156876400068,-0.14553628965865723
P01_IMG102_00111,P01,IMG102,12.55,1.0,23,477.5362318840647,0.0,0.1634167721237486,-0.2543132693268531
P01_IMG103_00110,P01,IMG103,6.35,1.0,13,432.051282051297,0.0,0.21033047004658512,-0.09113684365915693
P01_IMG104_00110,P01,IMG104,7.6,1.0,11,642.4242424242177,0.0,0.21764605235228932,-0.37620326450892855
P01_IMG105_10110,P01,IMG105,10.650000000000116,1.0,29,307.47126436781076,0.0,0.22258181206844624,-0.0712571985581341
P01_IMG106_10011,P01,IMG106,10.2,1.0,38,202.19298245614138,0.0,0.26601426939672435,-0.30753267728365385
P01_IMG107_10111,P01,IMG107,10.866666666666744,1.0,37,226.57657657657134,0.0,0.28999753190664984,0.0014437094502058024
P01_IMG108_10001,P01,IMG108,5.9,1.0,23,192.02898550724976,0.0,0.2210688692033166,-0.005472525572165385
P01_IMG109_10011,P01,IMG109,5.4,1.0,20,220.83333333332558,0.0,0.2652044777515541,-0.4829252473600618
P01_IMG110_10001,P01,IMG110,7.05,1.0,24,240.972222222219,0.0,0.22890649486906134,-0.2894855541187327
P01_IMG111_10001,P01,IMG111,7.05,1.0,20,295.8333333333256,0.0,0.23351144660287335,-0.8648909684065934
P01_IMG112_10001,P01,IMG112,5.183333333333372,1.0,16,255.2083333333212,0.0,0.19061151192008102,-0.5019109937879774
P01_IMG113_10101,P01,IMG113,8.333333333333373,1.0,31,220.43010752687547,0.0,0.21269871126755835,-0.6144158499581474
P01_IMG114_10001,P01,IMG114,5.583333333333372,1.0,18,257.40740740740307,0.0,0.24480371314201932,0.2007443773877491
P01_IMG115_10001,P01,IMG115,8.55,1.0,29,246.55172413793105,83.33333333337214,0.2012868895241041,0.19048929738474424
P01_IMG116_10111,P01,IMG116,12.1,1.0,33,324.2424242424172,0.0,0.1988898910844189,-0.726770589639853
P01_IMG117_10111,P01,IMG117,9.55,1.0,31,241.935483870979,0.0,0.26537623907866115,0.05430085318429139
P01_IMG118_10001,P01,IMG118,11.166666666666744,1.0,43,205.42635658914278,33.33333333337214,0.19948331260371563,-1.0404802519699623
