filename,N,R,REC,D_L,DET,H_L,V_L,LAM,CORM
P43_IMG123_10111_rqa_data.npz,32,178,35.88709677419355,129,72.47191011235955,145,146,81.74157303370787,31.297571583907214
P40_IMG117_10111_rqa_data.npz,30,30,6.896551724137931,7,23.333333333333332,11,13,40.0,31.49425287356322
P22_IMG125_10001_rqa_data.npz,34,31,5.52584670231729,11,35.483870967741936,8,2,16.129032258064516,24.242424242424242
P21_IMG111_10001_rqa_data.npz,47,32,2.9602220166512487,7,21.875,4,8,18.75,30.842391304347824
P43_IMG019_01000_rqa_data.npz,27,24,6.837606837606837,8,33.333333333333336,10,9,39.583333333333336,29.166666666666668
P41_IMG081_00100_rqa_data.npz,40,52,6.666666666666667,14,26.923076923076923,26,21,45.19230769230769,33.629191321499015
P48_IMG107_10111_rqa_data.npz,26,24,7.384615384615385,9,37.5,6,10,33.333333333333336,24.0
P17_IMG054_00100_rqa_data.npz,44,81,8.562367864693446,17,20.987654320987655,20,26,28.395061728395063,42.434682744760266
P22_IMG143_00001_rqa_data.npz,30,8,1.839080459770115,0,0.0,0,0,0.0,26.724137931034484
P14_IMG060_00100_rqa_data.npz,16,10,8.333333333333334,4,40.0,6,2,40.0,47.333333333333336
P03_IMG083_00100_rqa_data.npz,16,11,9.166666666666666,2,18.181818181818183,6,6,54.54545454545455,49.696969696969695
P10_IMG090_00110_rqa_data.npz,14,8,8.791208791208792,0,0.0,2,2,25.0,39.42307692307692
P41_IMG132_00101_rqa_data.npz,53,49,3.555878084179971,8,16.3265306122449,18,12,30.612244897959183,27.90423861852433
P49_IMG039_00100_rqa_data.npz,26,18,5.538461538461538,7,38.888888888888886,4,8,33.333333333333336,39.111111111111114
P20_IMG152_10011_rqa_data.npz,67,77,3.482587064676617,44,57.142857142857146,24,20,28.571428571428573,20.484061393152302
P15_IMG138_00111_rqa_data.npz,48,50,4.432624113475177,19,38.0,19,21,40.0,19.659574468085108
P35_IMG016_01001_rqa_data.npz,22,11,4.761904761904762,2,18.181818181818183,0,4,18.181818181818183,36.7965367965368
P01_IMG127_00011_rqa_data.npz,17,2,1.4705882352941178,0,0.0,0,0,0.0,6.25
P05_IMG119_10001_rqa_data.npz,45,18,1.8181818181818181,2,11.11111111111111,2,0,5.555555555555555,29.671717171717173
P28_IMG122_10111_rqa_data.npz,29,22,5.41871921182266,4,18.181818181818183,4,2,13.636363636363637,31.006493506493506
P38_IMG078_00100_rqa_data.npz,45,90,9.090909090909092,29,32.22222222222222,52,32,46.666666666666664,38.76262626262626
P09_IMG151_10011_rqa_data.npz,69,59,2.514919011082694,28,47.45762711864407,25,15,33.898305084745765,7.701894317048853
P49_IMG142_00001_rqa_data.npz,31,27,5.806451612903226,4,14.814814814814815,0,5,9.25925925925926,32.839506172839506
P01_IMG141_10011_rqa_data.npz,45,34,3.4343434343434343,8,23.529411764705884,6,12,26.470588235294116,21.72459893048128
