device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
20774318713,20736220614,"(0.3600122332572937, 0.5303171277046204)","(-76.37290954589844, 147.63162231445312, 46.896480560302734)",1,2.9090118408203125,1,"(-11.785024642944336, -0.91794353723526, 650.8474731445312)",1,"(0.3870444893836975, 0.4901641607284546)","(-61.41596221923828, 159.37481689453125, 51.170658111572266)",1,2.9833526611328125,1,"(60.19157409667969, 9.858039855957031, 648.31103515625)",1
20774335298,20736237199,"(0.3644832372665405, 0.5220329165458679)","(-73.89909362792969, 150.054443359375, 47.7783203125)",1,2.9196929931640625,1,"(-11.662211418151855, -0.8818559050559998, 650.2280883789062)",1,"(0.37922582030296326, 0.48015475273132324)","(-65.74205017089844, 162.30218505859375, 52.23616409301758)",1,2.957672119140625,1,"(60.26472091674805, 9.867517471313477, 647.5379028320312)",1
20774351781,20736253683,"(0.3623533844947815, 0.515375018119812)","(-75.07755279541016, 152.00164794921875, 48.486995697021484)",1,2.912506103515625,1,"(-11.55104923248291, -0.880643904209137, 649.8322143554688)",1,"(0.38019120693206787, 0.482976496219635)","(-65.2078628540039, 161.47694396972656, 51.93577575683594)",1,2.9693450927734375,1,"(60.35557556152344, 9.860674858093262, 647.144287109375)",1
20774368582,20736270484,"(0.3667483329772949, 0.5161915421485901)","(-72.64580535888672, 151.7628173828125, 48.400081634521484)",1,2.89471435546875,1,"(-11.503156661987305, -0.8557806015014648, 649.817138671875)",1,"(0.38250380754470825, 0.48648422956466675)","(-63.92831039428711, 160.45108032226562, 51.56237030029297)",1,2.9740142822265625,1,"(60.420284271240234, 9.870702743530273, 647.1019897460938)",1
20774385213,20736287115,"(0.37164708971977234, 0.5217804908752441)","(-69.93534088134766, 150.12826538085938, 47.80517578125)",1,2.9193878173828125,1,"(-11.438246726989746, -0.8323333859443665, 650.0014038085938)",1,"(0.37940195202827454, 0.4816533029079437)","(-65.64459991455078, 161.86395263671875, 52.076595306396484)",1,2.9790802001953125,1,"(60.55244827270508, 9.894556045532227, 647.317626953125)",1
20774401706,20736303608,"(0.37258756160736084, 0.5253065228462219)","(-69.41498565673828, 149.09706115722656, 47.429832458496094)",1,2.9210357666015625,1,"(-11.372876167297363, -0.8249212503433228, 649.7047729492188)",1,"(0.3746667206287384, 0.49424847960472107)","(-68.26457214355469, 158.18031311035156, 50.735862731933594)",1,2.9776611328125,1,"(60.610408782958984, 9.89451789855957, 647.0385131835938)",1
20774418452,20736320355,"(0.3678181767463684, 0.5257998704910278)","(-72.05390167236328, 148.95277404785156, 47.377315521240234)",1,2.9223480224609375,1,"(-11.34279727935791, -0.8199318647384644, 649.6073608398438)",1,"(0.3792625367641449, 0.49739018082618713)","(-65.7217025756836, 157.2615203857422, 50.40145492553711)",1,2.9886322021484375,1,"(60.61722946166992, 9.892250061035156, 646.9317016601562)",1
20774435128,20736337031,"(0.3684471547603607, 0.5156704783439636)","(-71.70585632324219, 151.91522216796875, 48.45556640625)",1,2.9188995361328125,1,"(-11.314038276672363, -0.7905120849609375, 649.4094848632812)",1,"(0.380458801984787, 0.5006688833236694)","(-65.0598373413086, 156.30262756347656, 50.05244445800781)",1,3.0048980712890625,1,"(60.630062103271484, 9.924270629882812, 646.6814575195312)",1
20774451626,20736353530,"(0.36775797605514526, 0.5231975317001343)","(-72.08716583251953, 149.71383666992188, 47.6543083190918)",1,2.895233154296875,1,"(-11.315872192382812, -0.7235130667686462, 649.1013793945312)",1,"(0.3794560730457306, 0.504041850566864)","(-65.61461639404297, 155.31614685058594, 49.69340515136719)",1,2.9805450439453125,1,"(60.6049690246582, 9.980545043945312, 646.38818359375)",1
20774468418,20736370322,"(0.36415573954582214, 0.5233217477798462)","(-74.0802993774414, 149.677490234375, 47.641090393066406)",1,2.8910675048828125,1,"(-11.318324089050293, -0.6836065053939819, 648.938232421875)",1,"(0.3758626878261566, 0.48663535714149475)","(-67.60284423828125, 160.40687561035156, 51.54627227783203)",1,2.9391021728515625,1,"(60.580318450927734, 10.004454612731934, 646.2614135742188)",1
