device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
6243022402,6178010750,"(0.4878501892089844, 0.3477647304534912)","(-5.640162467956543, 201.02122497558594, 66.32875061035156)",1,5.4027099609375,1,"(-9.266582489013672, -34.70237350463867, 754.9989013671875)",1,"(0.4969179928302765, 0.41821804642677307)","(-0.6229336261749268, 180.4163360595703, 58.82908630371094)",1,5.19989013671875,1,"(57.48602294921875, -35.406795501708984, 752.8984375)",1
6243039042,6178027390,"(0.4926634132862091, 0.3498381972312927)","(-2.9770047664642334, 200.41482543945312, 66.1080551147461)",1,5.4132080078125,1,"(-9.278545379638672, -34.77305603027344, 754.6939697265625)",1,"(0.4962666928768158, 0.42062023282051086)","(-0.9832975268363953, 179.71380615234375, 58.57340621948242)",1,5.2101593017578125,1,"(57.4549446105957, -35.45711898803711, 752.593017578125)",1
6243054974,6178043321,"(0.48773711919784546, 0.35660046339035034)","(-5.702715873718262, 198.43710327148438, 65.38816833496094)",1,5.4174652099609375,1,"(-8.939081192016602, -34.709556579589844, 753.9989013671875)",1,"(0.4993892014026642, 0.4212164580821991)","(0.7443944811820984, 179.53939819335938, 58.509952545166016)",1,5.2197265625,1,"(57.712947845458984, -35.36088180541992, 751.8812866210938)",1
6243072322,6178060669,"(0.4861058294773102, 0.35266560316085815)","(-6.6053290367126465, 199.5879364013672, 65.80703735351562)",1,5.4315643310546875,1,"(-8.696094512939453, -34.662376403808594, 754.0996704101562)",1,"(0.4981541335582733, 0.4123847782611847)","(0.061018820852041245, 182.12232971191406, 59.450077056884766)",1,5.2286376953125,1,"(57.93850326538086, -35.31114196777344, 751.9483032226562)",1
6243088962,6178077309,"(0.48965999484062195, 0.35583630204200745)","(-4.638792991638184, 198.66062927246094, 65.4695053100586)",1,5.4395904541015625,1,"(-8.151556968688965, -34.51730728149414, 753.9810791015625)",1,"(0.49683573842048645, 0.40931469202041626)","(-0.668459951877594, 183.02024841308594, 59.7768669128418)",1,5.238433837890625,1,"(58.495269775390625, -35.12648010253906, 751.7756958007812)",1
6243104893,6178093239,"(0.4920059144496918, 0.35222867131233215)","(-3.340766429901123, 199.71568298339844, 65.85354614257812)",1,5.449493408203125,1,"(-7.623088836669922, -34.41716003417969, 753.9808349609375)",1,"(0.4996337890625, 0.4060710668563843)","(0.8797631859779358, 183.96884155273438, 60.122169494628906)",1,5.24981689453125,1,"(59.00227355957031, -34.99179458618164, 751.7215576171875)",1
6243122242,6178110588,"(0.48834550380706787, 0.3505987226963043)","(-5.366112232208252, 200.19241333007812, 66.02706146240234)",1,5.4605255126953125,1,"(-7.426940441131592, -34.410667419433594, 754.1217041015625)",1,"(0.49912819266319275, 0.4109871983528137)","(0.5999394059181213, 182.53109741210938, 59.598854064941406)",1,5.2576751708984375,1,"(59.18756103515625, -34.96025848388672, 751.830810546875)",1
6243138882,6178127227,"(0.4863881468772888, 0.3544881045818329)","(-6.449096202850342, 199.05487060546875, 65.613037109375)",1,5.474517822265625,1,"(-7.130945205688477, -34.4719123840332, 754.3368530273438)",1,"(0.5003600716590881, 0.40552014112472534)","(1.281587839126587, 184.12997436523438, 60.1807746887207)",1,5.2725982666015625,1,"(59.49952697753906, -35.043704986572266, 752.0234375)",1
6243154819,6178143164,"(0.48751744627952576, 0.356849730014801)","(-5.824248313903809, 198.36422729492188, 65.36164855957031)",1,5.477996826171875,1,"(-6.977833271026611, -34.656700134277344, 754.6517333984375)",1,"(0.5010594129562378, 0.41180574893951416)","(1.6685086488723755, 182.29171752929688, 59.511653900146484)",1,5.2815093994140625,1,"(59.66642761230469, -35.26518630981445, 752.323486328125)",1
6243172162,6178160506,"(0.48973914980888367, 0.3571820557117462)","(-4.59499454498291, 198.2670135498047, 65.32622528076172)",1,5.4745025634765625,1,"(-6.915175437927246, -34.72938919067383, 754.4461059570312)",1,"(0.4939000904560089, 0.41652166843414307)","(-2.292733907699585, 180.9124755859375, 59.00966262817383)",1,5.2915496826171875,1,"(59.724449157714844, -35.33977508544922, 752.1354370117188)",1
6243188802,6178177146,"(0.48714399337768555, 0.35463857650756836)","(-6.030876636505127, 199.01089477539062, 65.59696197509766)",1,5.4804534912109375,1,"(-6.687778949737549, -34.84487533569336, 754.2938232421875)",1,"(0.495004802942276, 0.41224414110183716)","(-1.6815062761306763, 182.16346740722656, 59.46505355834961)",1,5.3013458251953125,1,"(59.910701751708984, -35.48154067993164, 751.961669921875)",1
6243204739,6178193083,"(0.4883887767791748, 0.34924325346946716)","(-5.342132091522217, 200.58883666992188, 66.17127227783203)",1,5.493743896484375,1,"(-6.272863864898682, -34.844791412353516, 754.108154296875)",1,"(0.49856728315353394, 0.4151124954223633)","(0.28962618112564087, 181.3245849609375, 59.159698486328125)",1,5.2986602783203125,1,"(60.3016357421875, -35.493919372558594, 751.751708984375)",1
6243222082,6178210425,"(0.48510655760765076, 0.35995084047317505)","(-7.158216953277588, 197.45730590820312, 65.0315170288086)",1,5.494476318359375,1,"(-6.016931533813477, -34.80996322631836, 754.0178833007812)",1,"(0.5004299879074097, 0.4173264801502228)","(1.3202213048934937, 180.67706298828125, 58.92403030395508)",1,5.287017822265625,1,"(60.51614761352539, -35.48090744018555, 751.6451416015625)",1
6243238722,6178227065,"(0.48415637016296387, 0.3599608838558197)","(-7.683931827545166, 197.454345703125, 65.03043365478516)",1,5.502288818359375,1,"(-5.415431022644043, -34.76141357421875, 753.7932739257812)",1,"(0.4967053234577179, 0.40749379992485046)","(-0.7405741810798645, 183.55271911621094, 59.97074890136719)",1,5.2911376953125,1,"(61.10978317260742, -35.48078918457031, 751.3567504882812)",1
6243254663,6178243005,"(0.4910164475440979, 0.32080143690109253)","(-3.888254165649414, 208.906982421875, 69.1988754272461)",1,5.5341033935546875,1,"(-4.820343971252441, -34.598655700683594, 753.9553833007812)",1,"(0.49877530336380005, 0.38408276438713074)","(0.40474241971969604, 190.3995819091797, 62.46272277832031)",1,5.314788818359375,1,"(61.68720626831055, -35.37467575073242, 751.453857421875)",1
6243272002,6178260344,"(0.49701523780822754, 0.25095680356025696)","(-0.5691112279891968, 229.3338623046875, 76.63367462158203)",1,5.5583343505859375,1,"(-4.559915065765381, -34.41129684448242, 754.2452392578125)",1,"(0.5010589957237244, 0.3218010365962982)","(1.6682868003845215, 208.61460876464844, 69.09246063232422)",1,5.3314971923828125,1,"(61.84931945800781, -35.246822357177734, 751.7088012695312)",1
6243288642,6178276984,"(0.4952569007873535, 0.15018264949321747)","(-1.5420078039169312, 258.80645751953125, 87.36077880859375)",1,5.6631011962890625,1,"(-4.216845989227295, -34.06819152832031, 754.8358764648438)",1,"(0.5002636909484863, 0.23312221467494965)","(1.2282253503799438, 234.54978942871094, 78.53211975097656)",1,5.3012237548828125,1,"(61.99494171142578, -35.059486389160156, 752.0902099609375)",1
6243304588,6178292929,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.4989292025566101, 0.23407039046287537)","(0.48989245295524597, 234.27247619628906, 78.4311752319336)",1,5.3080291748046875,1,"(62.105716705322266, -35.15262985229492, 752.453857421875)",1
6243321922,6178310263,"(0.4920046627521515, 0.1545511931180954)","(-3.3414788246154785, 257.52880859375, 86.89579010009766)",1,5.662567138671875,1,"(-4.296316623687744, -33.783023834228516, 755.818359375)",1,"(0.4961106479167938, 0.22157026827335358)","(-1.0696141719818115, 237.92828369140625, 79.76178741455078)",1,5.30450439453125,1,"(62.13276672363281, -35.16591262817383, 752.8331909179688)",1
6243338562,6178326902,"(0.4990326464176178, 0.15918542444705963)","(0.5471184849739075, 256.1734924316406, 86.40243530273438)",1,5.686248779296875,1,"(-4.323962688446045, -33.59480667114258, 756.1376953125)",1,"(0.4939705431461334, 0.22642438113689423)","(-2.2537472248077393, 236.5086669921875, 79.24506378173828)",1,5.3047943115234375,1,"(62.15777587890625, -35.065673828125, 753.5643310546875)",1
6243354508,6178342848,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.4959429204463959, 0.22491148114204407)","(-1.1624374389648438, 236.9511260986328, 79.40611267089844)",1,5.295166015625,1,"(62.256591796875, -34.8748893737793, 753.9053344726562)",1
6243371842,6178360181,"(0.4903143346309662, 0.1363462507724762)","(-4.276721000671387, 262.85302734375, 88.833740234375)",1,5.6782379150390625,1,"(-4.042646884918213, -32.91898727416992, 757.0441284179688)",1,"(0.49313223361968994, 0.22517764568328857)","(-2.717587471008301, 236.873291015625, 79.37776184082031)",1,5.285064697265625,1,"(62.352813720703125, -34.78467559814453, 754.1976318359375)",1
6243388482,6178376821,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.4904262125492096, 0.23237204551696777)","(-4.2147955894470215, 234.76918029785156, 78.6119384765625)",1,5.2481842041015625,1,"(62.619136810302734, -34.51713562011719, 754.6842651367188)",1
6243404428,6178392766,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.49057745933532715, 0.23259979486465454)","(-4.131134033203125, 234.7025604248047, 78.58772277832031)",1,5.1968231201171875,1,"(62.80622100830078, -34.25664520263672, 754.8595581054688)",1
6243421762,6178410100,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.48879945278167725, 0.23698493838310242)","(-5.114930152893066, 233.4200897216797, 78.12093353271484)",1,5.1850128173828125,1,"(62.836360931396484, -34.16803741455078, 755.0938110351562)",1
6243438402,6178426739,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.49127358198165894, 0.23557880520820618)","(-3.7459864616394043, 233.8313446044922, 78.2706069946289)",1,5.1350250244140625,1,"(62.72603988647461, -34.0396728515625, 755.7601928710938)",1
6243454348,6178442685,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.49570393562316895, 0.22996099293231964)","(-1.2946796417236328, 235.47434997558594, 78.86859893798828)",1,5.077972412109375,1,"(62.337833404541016, -34.03063201904297, 756.5960693359375)",1
6243471682,6178460019,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.49626877903938293, 0.2263883352279663)","(-0.982113778591156, 236.5191650390625, 79.2488784790039)",1,5.0680694580078125,1,"(62.114959716796875, -34.03705596923828, 756.8541870117188)",1
6243488322,6178476658,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.4996834397315979, 0.2281416803598404)","(0.9072175621986389, 236.00640869140625, 79.06230163574219)",1,5.00494384765625,1,"(61.58027648925781, -34.066383361816406, 757.5127563476562)",1
6243504263,6178492599,"(0.4893133044242859, 0.18953414261341095)","(-4.830594062805176, 247.29763793945312, 83.17194366455078)",1,5.161376953125,1,"(-5.753605365753174, -32.79370880126953, 760.4371337890625)",1,"(0.49829286336898804, 0.2298448085784912)","(0.13779360055923462, 235.50828552246094, 78.8809814453125)",1,4.9524383544921875,1,"(61.14924621582031, -34.106693267822266, 757.8889770507812)",1
6243521602,6178509937,"(0.4644792675971985, 0.2245633900165558)","(-18.571256637573242, 237.05291748046875, 79.44315338134766)",1,5.2378082275390625,1,"(-5.870031356811523, -32.981712341308594, 760.6422119140625)",1,"(0.48480579257011414, 0.25930413603782654)","(-7.324615478515625, 226.89259338378906, 75.7450942993164)",1,4.93011474609375,1,"(60.919403076171875, -34.24877166748047, 758.2365112304688)",1
