device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
30784580499,15771442536,"(0.6475697159767151, 0.6708959937095642)","(82.73268127441406, 106.51765441894531, 31.932214736938477)",1,3.1302490234375,1,"(-51.821414947509766, -49.68867492675781, 599.578857421875)",1,"(0.6359148025512695, 0.6009262204170227)","(76.28401947021484, 126.98118591308594, 39.38034439086914)",1,3.2911529541015625,1,"(11.822403907775879, -39.82269287109375, 601.0079345703125)",1
30784597350,15771459387,"(0.6506468653678894, 0.6680187582969666)","(84.43527221679688, 107.35916137695312, 32.23847961425781)",1,3.1219024658203125,1,"(-51.81540298461914, -49.77485275268555, 600.3786010742188)",1,"(0.637322187423706, 0.6092010140419006)","(77.06273651123047, 124.56109619140625, 38.499515533447266)",1,3.3147735595703125,1,"(11.941216468811035, -39.90564727783203, 601.8522338867188)",1
30784613820,15771475857,"(0.654359757900238, 0.6675300002098083)","(86.48966217041016, 107.5020980834961, 32.29051971435547)",1,3.12469482421875,1,"(-51.7295036315918, -49.83454132080078, 601.1651611328125)",1,"(0.6386801600456238, 0.6091815233230591)","(77.81410217285156, 124.56680297851562, 38.50157928466797)",1,3.2997894287109375,1,"(12.091741561889648, -39.95701599121094, 602.5169067382812)",1
30784630465,15771492502,"(0.6525935530662537, 0.6749311685562134)","(85.51238250732422, 105.33756256103516, 31.502656936645508)",1,3.1347503662109375,1,"(-51.64379119873047, -49.82719802856445, 601.3709716796875)",1,"(0.6358441710472107, 0.6095346808433533)","(76.24494934082031, 124.46353912353516, 38.46396255493164)",1,3.29315185546875,1,"(12.20452880859375, -39.96543502807617, 602.7605590820312)",1
30784647266,15771509303,"(0.6507821679115295, 0.6755971908569336)","(84.5101547241211, 105.14275360107422, 31.4317626953125)",1,3.1215972900390625,1,"(-51.51551818847656, -49.778648376464844, 601.605712890625)",1,"(0.6369225978851318, 0.5983996987342834)","(76.84162902832031, 127.72010803222656, 39.64923858642578)",1,3.2857818603515625,1,"(12.387895584106445, -39.96729278564453, 602.9620361328125)",1
30784663740,15771525777,"(0.6457421779632568, 0.6804038882255554)","(81.72151184082031, 103.73699188232422, 30.920093536376953)",1,3.1224517822265625,1,"(-51.28300857543945, -49.671695709228516, 601.4995727539062)",1,"(0.6371187567710876, 0.5996080040931702)","(76.95018768310547, 127.3667221069336, 39.52061080932617)",1,3.280609130859375,1,"(12.573723793029785, -39.94400405883789, 602.8521728515625)",1
30784680334,15771542371,"(0.6478410363197327, 0.6756882667541504)","(82.8828125, 105.11614227294922, 31.422075271606445)",1,3.1172943115234375,1,"(-51.18149948120117, -49.65991973876953, 601.600830078125)",1,"(0.6399049758911133, 0.5982933044433594)","(78.4917984008789, 127.75120544433594, 39.66054153442383)",1,3.26806640625,1,"(12.687767028808594, -39.96079635620117, 602.8928833007812)",1
30784697181,15771559218,"(0.6495764851570129, 0.6774647235870361)","(83.84300231933594, 104.59658813476562, 31.232999801635742)",1,3.105133056640625,1,"(-51.038387298583984, -49.65965270996094, 602.0884399414062)",1,"(0.64076828956604, 0.5989567637443542)","(78.9694595336914, 127.55716705322266, 39.589969635009766)",1,3.2578887939453125,1,"(12.913106918334961, -40.06261444091797, 603.4691772460938)",1
30784713660,15771575697,"(0.6520271897315979, 0.676784873008728)","(85.198974609375, 104.79544830322266, 31.305355072021484)",1,3.1107940673828125,1,"(-50.96220016479492, -49.69013977050781, 603.0699462890625)",1,"(0.6405159831047058, 0.5947105288505554)","(78.82986450195312, 128.79901123046875, 40.04195785522461)",1,3.2563629150390625,1,"(13.092144966125488, -40.135215759277344, 604.295166015625)",1
30784730204,15771592241,"(0.6540365219116211, 0.6739156246185303)","(86.31077575683594, 105.63457489013672, 31.61078453063965)",1,3.1264801025390625,1,"(-50.95448303222656, -49.65094757080078, 603.39208984375)",1,"(0.6427232623100281, 0.6001989841461182)","(80.05118560791016, 127.1938247680664, 39.45773696899414)",1,3.264129638671875,1,"(13.154878616333008, -40.10734176635742, 604.6494140625)",1
