device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
7496444620,7470320035,"(0.3218128979206085, 0.5958830118179321)","(-97.50862884521484, 128.4561004638672, 39.91719436645508)",1,4.8791656494140625,1,"(-10.99839973449707, -42.92111587524414, 660.0567016601562)",1,"(0.3313908278942108, 0.6042150259017944)","(-92.20916748046875, 126.01932525634766, 39.0302619934082)",1,4.7030487060546875,1,"(51.19055938720703, -49.430599212646484, 658.6171875)",1
7496460758,7470336173,"(0.32323789596557617, 0.5927215218544006)","(-96.72017669677734, 129.38072204589844, 40.25368118286133)",1,4.882781982421875,1,"(-10.978419303894043, -42.892051696777344, 660.251220703125)",1,"(0.33011049032211304, 0.6008463501930237)","(-92.91754913330078, 127.0045166015625, 39.3887939453125)",1,4.7115325927734375,1,"(51.23311996459961, -49.410011291503906, 658.79296875)",1
7496477573,7470352988,"(0.3238125741481781, 0.5904384851455688)","(-96.4021987915039, 130.0484161376953, 40.4967155456543)",1,4.8855743408203125,1,"(-10.93842601776123, -42.83529281616211, 660.3727416992188)",1,"(0.32605427503585815, 0.5888919234275818)","(-95.16185760498047, 130.50074768066406, 40.66133117675781)",1,4.7082977294921875,1,"(51.29096603393555, -49.36480712890625, 658.9130859375)",1
7496494540,7470369955,"(0.32629165053367615, 0.5992180109024048)","(-95.030517578125, 127.48076629638672, 39.56215286254883)",1,4.887054443359375,1,"(-10.902153968811035, -42.75811767578125, 660.2305908203125)",1,"(0.3276207745075226, 0.5985797643661499)","(-94.29512023925781, 127.66741943359375, 39.630069732666016)",1,4.7088775634765625,1,"(51.2984619140625, -49.28395080566406, 658.7703247070312)",1
7496510724,7470386139,"(0.3272721767425537, 0.5973109602928162)","(-94.48798370361328, 128.03848266601562, 39.76515197753906)",1,4.8911285400390625,1,"(-10.88703441619873, -42.748680114746094, 660.2161254882812)",1,"(0.32910215854644775, 0.6000307202339172)","(-93.4754409790039, 127.24304962158203, 39.47563552856445)",1,4.706146240234375,1,"(51.30427932739258, -49.25816345214844, 658.7542114257812)",1
7496527489,7470402904,"(0.3243718147277832, 0.5986690521240234)","(-96.09275817871094, 127.64132690429688, 39.62058639526367)",1,4.8962249755859375,1,"(-10.847060203552246, -42.72555160522461, 660.2953491210938)",1,"(0.32981541752815247, 0.6065323352813721)","(-93.0807876586914, 125.3415756225586, 38.78361129760742)",1,4.7086639404296875,1,"(51.32270050048828, -49.22085189819336, 658.8350219726562)",1
7496544460,7470419875,"(0.3230655789375305, 0.5918919444084167)","(-96.81546783447266, 129.62332153320312, 40.34196090698242)",1,4.8974456787109375,1,"(-10.805174827575684, -42.68451690673828, 660.2012939453125)",1,"(0.32835277915000916, 0.5979493260383606)","(-93.89009857177734, 127.85179138183594, 39.69722366333008)",1,4.71490478515625,1,"(51.332122802734375, -49.18467330932617, 658.7380981445312)",1
7496560690,7470436105,"(0.32334160804748535, 0.5913036465644836)","(-96.66275787353516, 129.79544067382812, 40.40458297729492)",1,4.9023284912109375,1,"(-10.794004440307617, -42.64998245239258, 660.1629028320312)",1,"(0.32770001888275146, 0.5936691164970398)","(-94.25125885009766, 129.10357666015625, 40.1528205871582)",1,4.7095947265625,1,"(51.33381271362305, -49.15773010253906, 658.6983032226562)",1
7496577405,7470452820,"(0.3271440267562866, 0.5933603644371033)","(-94.55889892578125, 129.19387817382812, 40.18568420410156)",1,4.9055023193359375,1,"(-10.78866958618164, -42.6033821105957, 660.0468139648438)",1,"(0.3265313506126404, 0.5956921577453613)","(-94.89786529541016, 128.5119171142578, 39.9374885559082)",1,4.7115325927734375,1,"(51.320274353027344, -49.095298767089844, 658.571533203125)",1
7496594380,7470469795,"(0.32761824131011963, 0.6020703315734863)","(-94.29650115966797, 126.64655303955078, 39.2585334777832)",1,4.912261962890625,1,"(-10.783239364624023, -42.526554107666016, 659.9833374023438)",1,"(0.32853299379348755, 0.610849142074585)","(-93.79035949707031, 124.07907104492188, 38.324066162109375)",1,4.713226318359375,1,"(51.301300048828125, -49.00279998779297, 658.5159301757812)",1
