device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
12237309709,12211193748,"(0.5216403603553772, 0.7641401886940002)","(13.055973052978516, 79.24730682373047, 22.00660514831543)",1,3.679534912109375,1,"(-50.269813537597656, -10.764327049255371, 607.8826904296875)",1,"(0.4912882447242737, 0.7736310362815857)","(-3.737903118133545, 76.47161865234375, 20.996353149414062)",1,4.02276611328125,1,"(15.376440048217773, -11.595569610595703, 609.8043212890625)",1
12237326612,12211210651,"(0.5230870246887207, 0.7651492953300476)","(13.856427192687988, 78.95220947265625, 21.899215698242188)",1,3.6909332275390625,1,"(-50.27597427368164, -10.760236740112305, 607.908203125)",1,"(0.49161115288734436, 0.7723631262779236)","(-3.559209108352661, 76.84244537353516, 21.131330490112305)",1,4.0274658203125,1,"(15.373368263244629, -11.590828895568848, 609.8268432617188)",1
12237342880,12211226919,"(0.5237038731575012, 0.7682281136512756)","(14.197723388671875, 78.05175018310547, 21.571470260620117)",1,3.694915771484375,1,"(-50.278072357177734, -10.754650115966797, 607.881591796875)",1,"(0.4926486611366272, 0.7738721370697021)","(-2.9851319789886475, 76.40110778808594, 20.97066307067871)",1,4.024566650390625,1,"(15.371952056884766, -11.58619499206543, 609.8027954101562)",1
12237359625,12211243664,"(0.5193025469779968, 0.770613431930542)","(11.762422561645508, 77.3541488647461, 21.31756591796875)",1,3.6604156494140625,1,"(-50.293827056884766, -10.725075721740723, 607.916748046875)",1,"(0.4916806221008301, 0.7805066108703613)","(-3.52079176902771, 74.46078491210938, 20.26441764831543)",1,4.0271453857421875,1,"(15.414399147033691, -11.540790557861328, 609.8547973632812)",1
12237376532,12211260571,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
12237392846,12211276885,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
12237409637,12211293676,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
12237426452,12211310491,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
12237442812,12211326851,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
12237459649,12211343688,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
