device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
16253675119,16227565265,"(0.47774046659469604, 0.6216883063316345)","(-11.23383903503418, 120.9090347290039, 37.17026901245117)",1,4.1093292236328125,1,"(2.166123867034912, -77.50474548339844, 680.2867431640625)",1,"(0.4787769615650177, 0.5984366536140442)","(-10.660385131835938, 127.70926666259766, 39.645267486572266)",1,3.9225311279296875,1,"(63.210594177246094, -80.43155670166016, 677.6510620117188)",1
16253691759,16227581905,"(0.4774455726146698, 0.6234158873558044)","(-11.397022247314453, 120.40380096435547, 36.986351013183594)",1,4.1117401123046875,1,"(2.172708034515381, -77.51593780517578, 680.3402709960938)",1,"(0.4796066880226135, 0.5954983830451965)","(-10.20127010345459, 128.56858825683594, 39.95810317993164)",1,3.92242431640625,1,"(63.224517822265625, -80.44451141357422, 677.7076416015625)",1
16253707801,16227597947,"(0.47726327180862427, 0.6212129592895508)","(-11.497909545898438, 121.04808044433594, 37.22083282470703)",1,4.1070709228515625,1,"(2.1847057342529297, -77.53882598876953, 680.486572265625)",1,"(0.4755609631538391, 0.5971978306770325)","(-12.439786911010742, 128.07159423828125, 39.777191162109375)",1,3.9373321533203125,1,"(63.25056076049805, -80.46543884277344, 677.8530883789062)",1
16253725039,16227615185,"(0.47645601630210876, 0.6226221323013306)","(-11.944541931152344, 120.63594818115234, 37.070831298828125)",1,4.1142730712890625,1,"(2.1907362937927246, -77.55066680908203, 680.6148681640625)",1,"(0.4783862829208374, 0.5933818817138672)","(-10.876505851745605, 129.1875762939453, 40.18338394165039)",1,3.9285430908203125,1,"(63.270694732666016, -80.48212432861328, 677.9656372070312)",1
16253741679,16227631826,"(0.4737513065338135, 0.6223273277282715)","(-13.441057205200195, 120.72218322753906, 37.10222625732422)",1,4.113250732421875,1,"(2.219470977783203, -77.56841278076172, 680.81689453125)",1,"(0.48111873865127563, 0.5940389037132263)","(-9.36464786529541, 128.9954376220703, 40.11346435546875)",1,3.912322998046875,1,"(63.3096809387207, -80.5120849609375, 678.1824951171875)",1
16253757721,16227647868,"(0.47629401087760925, 0.6228065490722656)","(-12.034205436706543, 120.58203887939453, 37.05119705200195)",1,4.116485595703125,1,"(2.229079008102417, -77.5936050415039, 681.0873413085938)",1,"(0.4810347259044647, 0.5939815640449524)","(-9.411127090454102, 129.01220703125, 40.1195182800293)",1,3.9202117919921875,1,"(63.353912353515625, -80.54399871826172, 678.4411010742188)",1
16253774959,16227665106,"(0.47558966279029846, 0.6181302666664124)","(-12.42389965057373, 121.94966125488281, 37.54897689819336)",1,4.10015869140625,1,"(2.2345690727233887, -77.60555267333984, 681.2113647460938)",1,"(0.4776778817176819, 0.5965924263000488)","(-11.26848316192627, 128.2486572265625, 39.84157943725586)",1,3.9271697998046875,1,"(63.37101745605469, -80.5556869506836, 678.5528564453125)",1
16253791599,16227681746,"(0.47602131962776184, 0.6179305911064148)","(-12.185065269470215, 122.00802612304688, 37.57026290893555)",1,4.1161346435546875,1,"(2.2310774326324463, -77.61912536621094, 681.36181640625)",1,"(0.48031288385391235, 0.6017206311225891)","(-9.810528755187988, 126.74884033203125, 39.2957649230957)",1,3.9289093017578125,1,"(63.38819122314453, -80.56597137451172, 678.721923828125)",1
16253807641,16227697788,"(0.47671517729759216, 0.6205044984817505)","(-11.801136016845703, 121.2552490234375, 37.29628372192383)",1,4.1099395751953125,1,"(2.2089526653289795, -77.62493133544922, 681.4757690429688)",1,"(0.4796074628829956, 0.5994862914085388)","(-10.200848579406738, 127.40229797363281, 39.53358459472656)",1,3.9258880615234375,1,"(63.381134033203125, -80.57675170898438, 678.8318481445312)",1
16253824879,16227715026,"(0.47364556789398193, 0.6212837100028992)","(-13.499550819396973, 121.0273666381836, 37.21336364746094)",1,4.094879150390625,1,"(2.1945621967315674, -77.62825012207031, 681.5075073242188)",1,"(0.4795882999897003, 0.597739577293396)","(-10.211443901062012, 127.91314697265625, 39.71950912475586)",1,3.9140472412109375,1,"(63.36415481567383, -80.57306671142578, 678.8618774414062)",1
