device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
15351050701,15324939369,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
15351081685,15324970357,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
15351098327,15324986999,"(0.45688146352767944, 0.7277132868766785)","(-22.775150299072266, 89.90079498291016, 25.8841552734375)",1,5.1359710693359375,1,"(-7.708828449249268, -62.084716796875, 601.7268676757812)",1,"(0.5417741537094116, 0.796345591545105)","(24.195995330810547, 69.8284683227539, 18.578428268432617)",1,4.92034912109375,1,"(45.06178283691406, -67.8255844116211, 599.4492797851562)",1
15351115013,15325003686,"(0.4887550175189972, 0.7457867860794067)","(-5.1394877433776855, 84.61500549316406, 23.960241317749023)",1,5.310455322265625,1,"(-8.111918449401855, -64.14441680908203, 621.7261962890625)",1,"(0.5153615474700928, 0.7351354956626892)","(9.581894874572754, 87.73007202148438, 25.094064712524414)",1,5.0558013916015625,1,"(46.865543365478516, -70.46846008300781, 623.0042724609375)",1
15351131360,15325020033,"(0.504144549369812, 0.6282783150672913)","(3.3755574226379395, 118.9817123413086, 36.468746185302734)",1,6.113311767578125,1,"(-9.41253662109375, -73.94767761230469, 716.4283447265625)",1,"(0.5194588899612427, 0.6411717534065247)","(11.848959922790527, 115.21089935302734, 35.09626007080078)",1,5.7917327880859375,1,"(53.85154724121094, -80.9341812133789, 715.0476684570312)",1
15351148293,15325036950,"(0.5037606358528137, 0.6389631032943726)","(3.1630983352661133, 115.85684204101562, 35.33139419555664)",1,6.016326904296875,1,"(-9.288918495178223, -72.94143676757812, 706.9231567382812)",1,"(0.5210680961608887, 0.6570704579353333)","(12.739328384399414, 110.56112670898438, 33.403892517089844)",1,5.69476318359375,1,"(53.129356384277344, -79.83708953857422, 705.512451171875)",1
15351165025,15325053661,"(0.5069481134414673, 0.6607967019081116)","(4.926732063293457, 109.47132873535156, 33.00729751586914)",1,5.894805908203125,1,"(-9.162310600280762, -72.06877899169922, 698.9436645507812)",1,"(0.5222490429878235, 0.6675345301628113)","(13.392715454101562, 107.50078582763672, 32.290061950683594)",1,5.58984375,1,"(52.54183578491211, -78.89388275146484, 697.34716796875)",1
15351181280,15325069894,"(0.5027148723602295, 0.6777769923210144)","(2.584522247314453, 104.50524139404297, 31.199817657470703)",1,5.8333587646484375,1,"(-9.082719802856445, -71.75301361083984, 696.313720703125)",1,"(0.517734169960022, 0.6784296035766602)","(10.894700050354004, 104.31436157226562, 31.130313873291016)",1,5.5338287353515625,1,"(52.386234283447266, -78.5886459350586, 694.9526977539062)",1
15351198259,15325086867,"(0.5029303431510925, 0.675419270992279)","(2.7036919593811035, 105.19480895996094, 31.450782775878906)",1,5.81414794921875,1,"(-9.065069198608398, -71.67388916015625, 695.6417236328125)",1,"(0.5203081965446472, 0.6789859533309937)","(12.31888484954834, 104.15166473388672, 31.071094512939453)",1,5.5157318115234375,1,"(52.34050369262695, -78.51126098632812, 694.32177734375)",1
15351215037,15325103642,"(0.5067960619926453, 0.6703339219093323)","(4.842599391937256, 106.68207550048828, 31.99205780029297)",1,5.7608795166015625,1,"(-9.05383014678955, -71.55804443359375, 694.559326171875)",1,"(0.5202691555023193, 0.6822332143783569)","(12.297242164611816, 103.20198822021484, 30.725404739379883)",1,5.47454833984375,1,"(52.2703742980957, -78.37535858154297, 693.25341796875)",1
15351231194,15325119797,"(0.5030849575996399, 0.6714462041854858)","(2.7892439365386963, 106.35676574707031, 31.873653411865234)",1,5.7186279296875,1,"(-9.047332763671875, -71.56393432617188, 694.7009887695312)",1,"(0.5213049054145813, 0.6780048608779907)","(12.870361328125, 104.43858337402344, 31.17547607421875)",1,5.451629638671875,1,"(52.2730598449707, -78.3884048461914, 693.4345703125)",1
15351248225,15325136827,"(0.5011636018753052, 0.671423077583313)","(1.7261368036270142, 106.363525390625, 31.8761043548584)",1,5.7065582275390625,1,"(-9.052513122558594, -71.5634765625, 694.7125854492188)",1,"(0.5197383165359497, 0.6795651316642761)","(12.003555297851562, 103.98228454589844, 31.00941276550293)",1,5.42620849609375,1,"(52.27288818359375, -78.38851165771484, 693.4558715820312)",1
