device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
15634765349,15608654406,"(0.5495564341545105, 0.7371213436126709)","(28.501907348632812, 87.1492919921875, 24.882736206054688)",1,4.1417236328125,1,"(-28.765853881835938, -79.20162963867188, 684.6141357421875)",1,"(0.5403344035148621, 0.6854882836341858)","(23.399372100830078, 102.2499771118164, 30.378921508789062)",1,3.94921875,1,"(32.443546295166016, -81.4168701171875, 684.7091064453125)",1
15634782587,15608671644,"(0.5484777092933655, 0.7411783933639526)","(27.90506362915039, 85.9627685546875, 24.45087432861328)",1,4.1414794921875,1,"(-28.772674560546875, -79.1966323852539, 684.5862426757812)",1,"(0.5447365045547485, 0.6824219226837158)","(25.83505630493164, 103.14679718017578, 30.705347061157227)",1,3.947845458984375,1,"(32.426788330078125, -81.4148178100586, 684.6796875)",1
15634799227,15608688284,"(0.5457392930984497, 0.7362686991691589)","(26.389894485473633, 87.39868927001953, 24.97352409362793)",1,4.1295928955078125,1,"(-28.78587532043457, -79.20230102539062, 684.5656127929688)",1,"(0.5440142750740051, 0.6834781765937805)","(25.435453414916992, 102.837890625, 30.59288215637207)",1,3.93310546875,1,"(32.406681060791016, -81.41568756103516, 684.6633911132812)",1
15634815269,15608704326,"(0.5238620042800903, 0.7107141613960266)","(14.285160064697266, 94.87239837646484, 27.69371223449707)",1,4.13446044921875,1,"(-28.880495071411133, -79.1699447631836, 684.4280395507812)",1,"(0.520166277885437, 0.6667804718017578)","(12.240337371826172, 107.7213134765625, 32.37031555175781)",1,3.89337158203125,1,"(32.29708480834961, -81.36019897460938, 684.537353515625)",1
15634832507,15608721564,"(0.49530643224716187, 0.6913996338844299)","(-1.514591097831726, 100.5211410522461, 29.749643325805664)",1,4.1161651611328125,1,"(-28.990432739257812, -79.09275817871094, 684.1014404296875)",1,"(0.482736736536026, 0.6505586504936218)","(-8.469413757324219, 112.465576171875, 34.09708023071289)",1,3.8876953125,1,"(32.1466064453125, -81.27953338623047, 684.19140625)",1
15634849147,15608738204,"(0.4674947261810303, 0.6837059259414673)","(-16.902820587158203, 102.77129364013672, 30.568571090698242)",1,4.0913848876953125,1,"(-29.130508422851562, -79.0667724609375, 684.0447998046875)",1,"(0.4616365134716034, 0.6548609733581543)","(-20.144155502319336, 111.20732116699219, 33.63910675048828)",1,3.9079437255859375,1,"(31.978778839111328, -81.21841430664062, 684.1575927734375)",1
15634865189,15608754246,"(0.46887698769569397, 0.6782002449035645)","(-16.13803482055664, 104.38147735595703, 31.15471649169922)",1,4.0797271728515625,1,"(-29.107065200805664, -78.99492645263672, 683.6025390625)",1,"(0.4630526602268219, 0.650909423828125)","(-19.360614776611328, 112.36298370361328, 34.05973815917969)",1,3.900238037109375,1,"(31.984094619750977, -81.15328216552734, 683.74365234375)",1
15634882427,15608771484,"(0.46751272678375244, 0.6809430122375488)","(-16.892881393432617, 103.57929992675781, 30.86276626586914)",1,4.0828857421875,1,"(-29.11903953552246, -79.02615356445312, 683.9725952148438)",1,"(0.45952892303466797, 0.6465030908584595)","(-21.310302734375, 113.65167236328125, 34.528751373291016)",1,3.8814239501953125,1,"(32.00815200805664, -81.18016815185547, 684.1091918945312)",1
15634899067,15608788124,"(0.4658377766609192, 0.6841347217559814)","(-17.819625854492188, 102.64586639404297, 30.523012161254883)",1,4.076141357421875,1,"(-29.140466690063477, -79.07113647460938, 684.6427001953125)",1,"(0.45866331458091736, 0.6422485113143921)","(-21.789268493652344, 114.89598083496094, 34.9817008972168)",1,3.875823974609375,1,"(32.06015396118164, -81.24342346191406, 684.7908935546875)",1
15634915109,15608804166,"(0.4632461667060852, 0.6902722120285034)","(-19.253528594970703, 100.85086059570312, 29.869674682617188)",1,4.0877685546875,1,"(-29.158193588256836, -79.11927032470703, 685.1410522460938)",1,"(0.4572826623916626, 0.6466752290725708)","(-22.553157806396484, 113.6013412475586, 34.510475158691406)",1,3.8779449462890625,1,"(32.09267807006836, -81.29186248779297, 685.2564697265625)",1
15634932347,15608821404,"(0.46540769934654236, 0.6824415922164917)","(-18.05759620666504, 103.14105224609375, 30.7032470703125)",1,4.080841064453125,1,"(-29.161706924438477, -79.13528442382812, 685.2926025390625)",1,"(0.458983451128006, 0.6498696208000183)","(-21.612102508544922, 112.66709899902344, 34.17042922973633)",1,3.8770294189453125,1,"(32.10661315917969, -81.31465911865234, 685.41259765625)",1
15634948987,15608838044,"(0.46686065196990967, 0.684767484664917)","(-17.253658294677734, 102.46080017089844, 30.45565414428711)",1,4.0854339599609375,1,"(-29.165483474731445, -79.14662170410156, 685.4564819335938)",1,"(0.45652875304222107, 0.6480205059051514)","(-22.970327377319336, 113.20790100097656, 34.36727523803711)",1,3.8817138671875,1,"(32.135372161865234, -81.34088134765625, 685.5807495117188)",1
15634965029,15608854086,"(0.46629050374031067, 0.6810808777809143)","(-17.569103240966797, 103.53897857666016, 30.848073959350586)",1,4.07476806640625,1,"(-29.13471031188965, -79.14117431640625, 685.4745483398438)",1,"(0.45826998353004456, 0.6479925513267517)","(-22.006900787353516, 113.21607208251953, 34.370235443115234)",1,3.874237060546875,1,"(32.15703582763672, -81.3449478149414, 685.594482421875)",1
15634982267,15608871324,"(0.4666667580604553, 0.6820023655891418)","(-17.36092758178711, 103.26949310302734, 30.74997901916504)",1,4.0598297119140625,1,"(-29.116491317749023, -79.12749481201172, 685.4193115234375)",1,"(0.4563678205013275, 0.6425096988677979)","(-23.059349060058594, 114.81959533691406, 34.953880310058594)",1,3.853912353515625,1,"(32.173667907714844, -81.33763885498047, 685.5368041992188)",1
15634998907,15608887964,"(0.4655967652797699, 0.6838829517364502)","(-17.952951431274414, 102.71951293945312, 30.549726486206055)",1,4.0565948486328125,1,"(-29.063232421875, -79.08149719238281, 685.1368408203125)",1,"(0.4596751034259796, 0.6492793560028076)","(-21.22943115234375, 112.8397445678711, 34.233238220214844)",1,3.854248046875,1,"(32.18659591674805, -81.29396057128906, 685.234130859375)",1
15635014949,15608904006,"(0.506683886051178, 0.603003740310669)","(4.780515193939209, 126.37357330322266, 39.159175872802734)",1,4.070709228515625,1,"(-28.810033798217773, -78.91603088378906, 685.0681762695312)",1,"(0.503781259059906, 0.5678086876869202)","(3.1745078563690186, 136.6667938232422, 42.90562438964844)",1,3.8697967529296875,1,"(32.3319091796875, -81.13314056396484, 685.1655883789062)",1
15635032187,15608921244,"(0.5476523041725159, 0.5217410326004028)","(27.448366165161133, 150.13980102539062, 47.80938720703125)",1,4.0887298583984375,1,"(-28.60757827758789, -78.8312759399414, 685.3533935546875)",1,"(0.554983913898468, 0.4846142530441284)","(31.504980087280273, 160.99795532226562, 51.76144027709961)",1,3.863739013671875,1,"(32.46035385131836, -81.02311706542969, 685.435546875)",1
15635048827,15608937884,"(0.5860641002655029, 0.4622615575790405)","(48.70162582397461, 167.53526306152344, 54.14079284667969)",1,4.0771942138671875,1,"(-28.40607452392578, -78.75030517578125, 685.4768676757812)",1,"(0.586893618106842, 0.44744595885276794)","(49.16061782836914, 171.8682861328125, 55.71790313720703)",1,3.8142242431640625,1,"(32.64651870727539, -80.9141845703125, 685.5211181640625)",1
15635064744,15608953801,"(0.5883530378341675, 0.46809324622154236)","(49.96809387207031, 165.82974243164062, 53.52004623413086)",1,4.07568359375,1,"(-28.481689453125, -78.77226257324219, 685.6344604492188)",1,"(0.5871198177337646, 0.43657243251800537)","(49.28578186035156, 175.04837036132812, 56.87538528442383)",1,3.8036041259765625,1,"(32.677364349365234, -80.96660614013672, 685.6513061523438)",1
15635082056,15608971113,"(0.5919507145881653, 0.4626661241054535)","(51.9587287902832, 167.41697692871094, 54.09773635864258)",1,4.078125,1,"(-28.5015926361084, -78.76260375976562, 685.55126953125)",1,"(0.5898107290267944, 0.4348280727863312)","(50.774654388427734, 175.55853271484375, 57.06102752685547)",1,3.8255767822265625,1,"(32.67558288574219, -80.97006225585938, 685.62890625)",1
15635098747,15608987804,"(0.5921881794929504, 0.46995627880096436)","(52.090091705322266, 165.28488159179688, 53.321720123291016)",1,4.0765380859375,1,"(-28.526493072509766, -78.71348571777344, 685.3023681640625)",1,"(0.5847564935684204, 0.43992531299591064)","(47.97820281982422, 174.06777954101562, 56.5184326171875)",1,3.8211517333984375,1,"(32.66679000854492, -80.93067932128906, 685.3599243164062)",1
15635114660,15609003717,"(0.5898289084434509, 0.4606109857559204)","(50.78471374511719, 168.0180206298828, 54.316497802734375)",1,4.0659942626953125,1,"(-28.545249938964844, -78.68418884277344, 685.0546264648438)",1,"(0.5854467153549194, 0.4409956932067871)","(48.36004638671875, 173.75473022460938, 56.40447235107422)",1,3.81689453125,1,"(32.64015197753906, -80.8932876586914, 685.1298828125)",1
15635132022,15609021079,"(0.5914196372032166, 0.4614037871360779)","(51.664833068847656, 167.78616333007812, 54.232086181640625)",1,4.0716400146484375,1,"(-28.555173873901367, -78.6756591796875, 684.9811401367188)",1,"(0.5842628479003906, 0.44316086173057556)","(47.70499801635742, 173.1215057373047, 56.174015045166016)",1,3.8215179443359375,1,"(32.63078689575195, -80.87614440917969, 685.0608520507812)",1
15635148667,15609037724,"(0.5908969640731812, 0.46239033341407776)","(51.37566375732422, 167.49761962890625, 54.12712097167969)",1,4.061676025390625,1,"(-28.5716552734375, -78.6385498046875, 684.8020629882812)",1,"(0.5859434604644775, 0.446129709482193)","(48.63483428955078, 172.2532501220703, 55.858009338378906)",1,3.8209075927734375,1,"(32.61271286010742, -80.83838653564453, 684.8663940429688)",1
15635164709,15609053766,"(0.5894448757171631, 0.4652905762195587)","(50.572200775146484, 166.64944458007812, 53.818397521972656)",1,4.0485992431640625,1,"(-28.58196449279785, -78.58539581298828, 684.4680786132812)",1,"(0.5847154259681702, 0.44747960567474365)","(47.95539855957031, 171.8584442138672, 55.71431350708008)",1,3.8242340087890625,1,"(32.58035659790039, -80.786376953125, 684.5469970703125)",1
15635181947,15609071004,"(0.5902721881866455, 0.4674353003501892)","(51.02998352050781, 166.02215576171875, 53.590091705322266)",1,4.054046630859375,1,"(-28.591018676757812, -78.56138610839844, 684.2958374023438)",1,"(0.5848103165626526, 0.4467393159866333)","(48.00788116455078, 172.074951171875, 55.79312515258789)",1,3.8124237060546875,1,"(32.56460952758789, -80.76266479492188, 684.3756103515625)",1
15635198587,15609087644,"(0.5847416520118713, 0.46301987767219543)","(47.96989822387695, 167.31350708007812, 54.060123443603516)",1,4.0448455810546875,1,"(-28.64065170288086, -78.54133605957031, 683.9636840820312)",1,"(0.5740523338317871, 0.4449850618839264)","(42.05552291870117, 172.58799743652344, 55.979820251464844)",1,3.8167266845703125,1,"(32.47941207885742, -80.72298431396484, 684.0245971679688)",1
15635214504,15609103561,"(0.4688084125518799, 0.49724045395851135)","(-16.175962448120117, 157.30531311035156, 50.41738510131836)",1,4.0389404296875,1,"(-29.091819763183594, -78.64421081542969, 684.1109619140625)",1,"(0.4743201434612274, 0.4495028555393219)","(-13.126311302185059, 171.2667236328125, 55.49893569946289)",1,3.822113037109375,1,"(31.9971923828125, -80.81133270263672, 684.1804809570312)",1
15635231867,15609120924,"(0.42073938250541687, 0.5290662050247192)","(-42.77256774902344, 147.99749755859375, 47.029605865478516)",1,4.0184783935546875,1,"(-29.332378387451172, -78.65837097167969, 683.6060791015625)",1,"(0.41836726665496826, 0.486136794090271)","(-44.08506774902344, 160.5526885986328, 51.59938049316406)",1,3.827972412109375,1,"(31.670907974243164, -80.81368255615234, 683.7677612304688)",1
