device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
19609692958,19583589026,"(0.4259473979473114, 0.5381059050559998)","(-39.890995025634766, 145.3537139892578, 46.0673828125)",1,3.780364990234375,1,"(-5.970444202423096, -22.755638122558594, 568.4310302734375)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
19609709851,19583605919,"(0.4252138137817383, 0.5383718609809875)","(-40.29688262939453, 145.27593994140625, 46.0390739440918)",1,3.8027801513671875,1,"(-6.031985282897949, -22.812685012817383, 569.5062866210938)",1,"(0.41403964161872864, 0.5776623487472534)","(-46.47954177856445, 133.78494262695312, 41.85670852661133)",1,3.727783203125,1,"(58.21453857421875, -40.72815704345703, 567.727294921875)",1
19609726509,19583622577,"(0.4243159592151642, 0.5327380299568176)","(-40.79365539550781, 146.92361450195312, 46.638771057128906)",1,3.816864013671875,1,"(-6.088956832885742, -22.880407333374023, 570.536376953125)",1,"(0.41706371307373047, 0.5771011114120483)","(-44.80632400512695, 133.94911193847656, 41.91646194458008)",1,3.76861572265625,1,"(58.24196243286133, -40.79104232788086, 568.3682861328125)",1
19609742827,19583638896,"(0.4253775477409363, 0.5350835919380188)","(-40.20628356933594, 146.2376251220703, 46.389095306396484)",1,3.8227691650390625,1,"(-6.112155437469482, -22.902620315551758, 570.8065795898438)",1,"(0.41674134135246277, 0.5774544477462769)","(-44.98464584350586, 133.8457489013672, 41.878822326660156)",1,3.77117919921875,1,"(58.25975036621094, -40.82395553588867, 568.7232055664062)",1
19609759670,19583655739,"(0.42393776774406433, 0.5372738838195801)","(-41.002906799316406, 145.59703063964844, 46.15592956542969)",1,3.8370208740234375,1,"(-6.115189075469971, -22.936357498168945, 570.917724609375)",1,"(0.41941145062446594, 0.5783588886260986)","(-43.507328033447266, 133.58126831054688, 41.78256607055664)",1,3.7869110107421875,1,"(58.25231170654297, -40.853397369384766, 568.8886108398438)",1
19609776425,19583672493,"(0.4244919717311859, 0.5356929898262024)","(-40.696266174316406, 146.0594024658203, 46.32420349121094)",1,3.8362884521484375,1,"(-6.116889476776123, -22.935163497924805, 570.56494140625)",1,"(0.4161946177482605, 0.5795714855194092)","(-45.28721237182617, 133.2266387939453, 41.65353012084961)",1,3.8044891357421875,1,"(58.231143951416016, -40.84720993041992, 568.5992431640625)",1
19609792697,19583688765,"(0.422694593667984, 0.5353206396102905)","(-41.690765380859375, 146.1682891845703, 46.36388397216797)",1,3.8368682861328125,1,"(-6.11434268951416, -22.946969985961914, 570.4874267578125)",1,"(0.41709786653518677, 0.5767186880111694)","(-44.78740310668945, 134.0609588623047, 41.9571533203125)",1,3.8075714111328125,1,"(58.214134216308594, -40.84469223022461, 568.4515991210938)",1
19609809488,19583705556,"(0.42375263571739197, 0.5379970073699951)","(-41.10533905029297, 145.38552856445312, 46.07899856567383)",1,3.8509674072265625,1,"(-6.115541934967041, -22.979145050048828, 570.5530395507812)",1,"(0.4181852638721466, 0.5723726153373718)","(-44.18574523925781, 135.33197021484375, 42.41972732543945)",1,3.8218994140625,1,"(58.220882415771484, -40.890472412109375, 568.5597534179688)",1
19609826345,19583722413,"(0.4221126139163971, 0.5348564982414246)","(-42.012752532958984, 146.30401611328125, 46.41329574584961)",1,3.8594207763671875,1,"(-6.1291303634643555, -23.008325576782227, 570.6870727539062)",1,"(0.4186619818210602, 0.5745764970779419)","(-43.9219970703125, 134.6874542236328, 42.185157775878906)",1,3.8313751220703125,1,"(58.21614456176758, -40.91471862792969, 568.6866455078125)",1
19609842663,19583738731,"(0.42343154549598694, 0.5352861881256104)","(-41.28297805786133, 146.17837524414062, 46.36757278442383)",1,3.866607666015625,1,"(-6.154258728027344, -22.997636795043945, 570.7344970703125)",1,"(0.4157106280326843, 0.5745536684989929)","(-45.55498504638672, 134.6941375732422, 42.187591552734375)",1,3.83514404296875,1,"(58.208866119384766, -40.916419982910156, 568.7572021484375)",1
19609859307,19583755375,"(0.42444464564323425, 0.5354125499725342)","(-40.72243881225586, 146.14141845703125, 46.35407638549805)",1,3.8795623779296875,1,"(-6.196121692657471, -22.967470169067383, 570.650146484375)",1,"(0.4151483178138733, 0.5757989287376404)","(-45.8660888671875, 134.32994079589844, 42.0550537109375)",1,3.8478851318359375,1,"(58.1381721496582, -40.87283706665039, 568.6638793945312)",1
19609876265,19583772333,"(0.4240768551826477, 0.5376584529876709)","(-40.925960540771484, 145.4845733642578, 46.114990234375)",1,3.89141845703125,1,"(-6.265827655792236, -22.892454147338867, 570.4561767578125)",1,"(0.4171760678291321, 0.5729939341545105)","(-44.7441520690918, 135.15029907226562, 42.35362243652344)",1,3.8349456787109375,1,"(58.04108810424805, -40.80764389038086, 568.507568359375)",1
19609892531,19583788599,"(0.4263097047805786, 0.5431157946586609)","(-39.69049835205078, 143.88848876953125, 45.53407287597656)",1,3.9096832275390625,1,"(-6.320657730102539, -22.844175338745117, 570.3011474609375)",1,"(0.41655537486076355, 0.5711222290992737)","(-45.08756637573242, 135.6976776123047, 42.552852630615234)",1,3.83294677734375,1,"(57.9733772277832, -40.762542724609375, 568.357666015625)",1
19609909223,19583805291,"(0.4243442416191101, 0.53839111328125)","(-40.77798843383789, 145.27024841308594, 46.03704071044922)",1,3.90301513671875,1,"(-6.411745548248291, -22.798477172851562, 570.0715942382812)",1,"(0.4182838201522827, 0.5715634226799011)","(-44.13124465942383, 135.56863403320312, 42.505924224853516)",1,3.838043212890625,1,"(57.8294563293457, -40.653594970703125, 568.1142578125)",1
19609926179,19583822247,"(0.4206086993217468, 0.5351200103759766)","(-42.844871520996094, 146.22695922851562, 46.3852424621582)",1,3.9102325439453125,1,"(-6.53303337097168, -22.734251022338867, 569.8387451171875)",1,"(0.4178631007671356, 0.573386013507843)","(-44.363983154296875, 135.03562927246094, 42.31193161010742)",1,3.8382720947265625,1,"(57.6831169128418, -40.52473831176758, 567.9345092773438)",1
19609942497,19583838565,"(0.4164348244667053, 0.49256452918052673)","(-45.154266357421875, 158.67282104492188, 50.91515350341797)",1,3.912628173828125,1,"(-6.592818737030029, -22.6052303314209, 569.8218994140625)",1,"(0.41709262132644653, 0.5331140160560608)","(-44.790321350097656, 146.8136749267578, 46.59877014160156)",1,3.821624755859375,1,"(57.56456756591797, -40.35360336303711, 567.9193725585938)",1
19609959235,19583855303,"(0.42300960421562195, 0.3815903961658478)","(-41.51644515991211, 191.1284942626953, 62.7280387878418)",1,3.9241790771484375,1,"(-6.645805835723877, -22.2326602935791, 569.8311767578125)",1,"(0.42538243532180786, 0.3814491629600525)","(-40.203582763671875, 191.16983032226562, 62.74311065673828)",1,3.80938720703125,1,"(57.264556884765625, -39.785858154296875, 567.9453125)",1
19609976099,19583872167,"(0.4309655427932739, 0.3398014307022095)","(-37.114444732666016, 203.35020446777344, 67.17637634277344)",1,3.9003753662109375,1,"(-6.751021385192871, -22.113805770874023, 569.83935546875)",1,"(0.4255620539188385, 0.36045417189598083)","(-40.10417938232422, 197.31005859375, 64.97793579101562)",1,3.78662109375,1,"(57.17403030395508, -39.64109420776367, 567.9672241210938)",1
19609992367,19583888435,"(0.4320729970932007, 0.33765506744384766)","(-36.501678466796875, 203.97793579101562, 67.40483093261719)",1,3.8976593017578125,1,"(-6.8909430503845215, -22.16993522644043, 570.1332397460938)",1,"(0.42517051100730896, 0.35906368494033813)","(-40.32080841064453, 197.71670532226562, 65.12593841552734)",1,3.79388427734375,1,"(57.16072082519531, -39.70780944824219, 568.2122802734375)",1
19610009149,19583905216,"(0.43091651797294617, 0.3332427740097046)","(-37.141544342041016, 205.26834106445312, 67.87457275390625)",1,3.869537353515625,1,"(-7.036310195922852, -22.2398681640625, 570.4488525390625)",1,"(0.428040474653244, 0.35194718837738037)","(-38.73286437988281, 199.79800415039062, 65.88350677490234)",1,3.751861572265625,1,"(57.10737991333008, -39.805301666259766, 568.5509643554688)",1
19610026011,19583922078,"(0.4319628179073334, 0.3309592604637146)","(-36.5626335144043, 205.9361572265625, 68.11763000488281)",1,3.81317138671875,1,"(-7.133655548095703, -22.268861770629883, 570.4136962890625)",1,"(0.4250270128250122, 0.349002480506897)","(-40.400230407714844, 200.6592254638672, 66.19696807861328)",1,3.7227020263671875,1,"(57.063907623291016, -39.83948516845703, 568.531982421875)",1
19610042237,19583938304,"(0.4317018985748291, 0.33123549818992615)","(-36.707008361816406, 205.85537719726562, 68.08819580078125)",1,3.7862396240234375,1,"(-7.175325870513916, -22.27748680114746, 570.412109375)",1,"(0.42616161704063416, 0.349241703748703)","(-39.77244186401367, 200.58924865722656, 66.17149353027344)",1,3.69000244140625,1,"(57.04501724243164, -39.857337951660156, 568.5385131835938)",1
