device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1207423819,1167263866,"(0.3873124122619629, 0.24484296143054962)","(-61.2677116394043, 231.12191772460938, 77.28447723388672)",1,3.02685546875,1,"(-85.89442443847656, -36.087440490722656, 684.8064575195312)",1,"(0.38155192136764526, 0.3193870186805725)","(-64.45500183105469, 209.3206329345703, 69.34943389892578)",1,3.334197998046875,1,"(-25.41735076904297, -46.527713775634766, 690.4012451171875)",1
1207440666,1167280713,"(0.38846173882484436, 0.24538888037204742)","(-60.63179397583008, 230.96226501464844, 77.22630310058594)",1,3.0212554931640625,1,"(-86.05012512207031, -36.11117935180664, 684.9961547851562)",1,"(0.3824654817581177, 0.3207247257232666)","(-63.94953155517578, 208.92941284179688, 69.20706176757812)",1,3.3253936767578125,1,"(-25.48646354675293, -46.543846130371094, 690.5792846679688)",1
1207457567,1167297614,"(0.3901176452636719, 0.24730366468429565)","(-59.71559143066406, 230.40228271484375, 77.02249145507812)",1,3.0295867919921875,1,"(-86.19557189941406, -36.13725662231445, 685.2024536132812)",1,"(0.3784113824367523, 0.3166253864765167)","(-66.1926498413086, 210.1282958984375, 69.64341735839844)",1,3.3224945068359375,1,"(-25.555362701416016, -46.54954528808594, 690.7772827148438)",1
1207473785,1167313832,"(0.3902796506881714, 0.24031086266040802)","(-59.6259651184082, 232.44740295410156, 77.7668685913086)",1,3.0305328369140625,1,"(-86.25980377197266, -36.14830017089844, 685.2637939453125)",1,"(0.37895467877388, 0.319202184677124)","(-65.89205932617188, 209.3746795654297, 69.36913299560547)",1,3.3253631591796875,1,"(-25.61278533935547, -46.5459098815918, 690.8592529296875)",1
1207490580,1167330627,"(0.38858315348625183, 0.2436503767967224)","(-60.564632415771484, 231.47073364257812, 77.41138458251953)",1,3.0368804931640625,1,"(-86.36145782470703, -36.152183532714844, 685.2084350585938)",1,"(0.384813129901886, 0.3196147680282593)","(-62.65056228637695, 209.2540283203125, 69.32518768310547)",1,3.3233489990234375,1,"(-25.712156295776367, -46.534122467041016, 690.8106079101562)",1
1207507492,1167347539,"(0.39039236307144165, 0.2489677518606186)","(-59.56357955932617, 229.9155731201172, 76.84542083740234)",1,3.0333099365234375,1,"(-86.46092224121094, -36.142311096191406, 685.1853637695312)",1,"(0.3813696801662445, 0.31388571858406067)","(-64.55583190917969, 210.9295654296875, 69.93502807617188)",1,3.31610107421875,1,"(-25.773578643798828, -46.52240753173828, 690.7861938476562)",1
1207523653,1167363699,"(0.38981348276138306, 0.24697336554527283)","(-59.88385772705078, 230.49884033203125, 77.05768585205078)",1,3.0269012451171875,1,"(-86.50772857666016, -36.14992141723633, 685.2333374023438)",1,"(0.3802078366279602, 0.31152209639549255)","(-65.19867706298828, 211.62083435058594, 70.18663024902344)",1,3.3158111572265625,1,"(-25.820236206054688, -46.523963928222656, 690.8516845703125)",1
1207540496,1167380543,"(0.3907279372215271, 0.2406972497701645)","(-59.377891540527344, 232.33438110351562, 77.72579193115234)",1,3.0283660888671875,1,"(-86.59789276123047, -36.16580581665039, 685.348876953125)",1,"(0.3785758912563324, 0.3125591278076172)","(-66.10163879394531, 211.3175048828125, 70.07628631591797)",1,3.3225555419921875,1,"(-25.87415885925293, -46.52570724487305, 690.972900390625)",1
1207557412,1167397459,"(0.39140817523002625, 0.23821820318698883)","(-59.00151062011719, 233.05941772460938, 77.9896240234375)",1,3.033477783203125,1,"(-86.67293548583984, -36.171382904052734, 685.3519287109375)",1,"(0.38061317801475525, 0.31086593866348267)","(-64.97440338134766, 211.8126983642578, 70.2564926147461)",1,3.3157806396484375,1,"(-25.93650245666504, -46.5207405090332, 690.9869384765625)",1
1207573619,1167413666,"(0.39299896359443665, 0.24274185299873352)","(-58.12135314941406, 231.73643493652344, 77.50810241699219)",1,3.034576416015625,1,"(-86.69469451904297, -36.15756607055664, 685.2732543945312)",1,"(0.3825626075267792, 0.308727502822876)","(-63.89577865600586, 212.4381103515625, 70.48410034179688)",1,3.3170013427734375,1,"(-25.977310180664062, -46.509796142578125, 690.8831176757812)",1
