device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1917366376,1877206761,"(0.3254888653755188, 0.2440222054719925)","(-95.47470092773438, 231.3619842529297, 77.37178039550781)",1,3.03619384765625,1,"(-75.94940185546875, -62.39889144897461, 712.2689208984375)",1,"(0.3341018557548523, 0.1958155781030655)","(-90.7091293334961, 245.46055603027344, 82.5032730102539)",1,3.2884368896484375,1,"(-14.714155197143555, -68.22016143798828, 716.7113037109375)",1
1917383287,1877223672,"(0.3209347128868103, 0.2390994280576706)","(-97.99454498291016, 232.8016815185547, 77.89583587646484)",1,3.03900146484375,1,"(-75.98458862304688, -62.38652038574219, 712.185791015625)",1,"(0.3353408873081207, 0.1980782300233841)","(-90.0235595703125, 244.79879760742188, 82.262451171875)",1,3.2918243408203125,1,"(-14.745890617370605, -68.18360900878906, 716.6312866210938)",1
1917400075,1877240460,"(0.3254413902759552, 0.24255412817001343)","(-95.5009536743164, 231.7913055419922, 77.52806091308594)",1,3.043670654296875,1,"(-76.03516387939453, -62.35725784301758, 712.0084838867188)",1,"(0.3347488045692444, 0.20039427280426025)","(-90.35118865966797, 244.12149047851562, 82.015869140625)",1,3.2985687255859375,1,"(-14.775257110595703, -68.15359497070312, 716.4712524414062)",1
1917416342,1877256727,"(0.3308274745941162, 0.23989319801330566)","(-92.52084350585938, 232.56956481933594, 77.81130981445312)",1,3.031768798828125,1,"(-76.059814453125, -62.34858322143555, 711.8780517578125)",1,"(0.33524733781814575, 0.19569967687129974)","(-90.0753173828125, 245.49444580078125, 82.51560974121094)",1,3.30023193359375,1,"(-14.79843521118164, -68.14337921142578, 716.3121948242188)",1
1917433203,1877273588,"(0.3329218924045563, 0.2366829216480255)","(-91.36202239990234, 233.50843811035156, 78.153076171875)",1,3.0231781005859375,1,"(-76.08236694335938, -62.33187484741211, 711.5546875)",1,"(0.3347662389278412, 0.19777357578277588)","(-90.34150695800781, 244.887939453125, 82.29483032226562)",1,3.3060150146484375,1,"(-14.826014518737793, -68.13096618652344, 715.998291015625)",1
1917449995,1877290380,"(0.3314262330532074, 0.23612645268440247)","(-92.1895523071289, 233.6711883544922, 78.21228790283203)",1,3.023681640625,1,"(-76.07207489013672, -62.3184928894043, 711.2622680664062)",1,"(0.33095961809158325, 0.19846628606319427)","(-92.4477310180664, 244.68533325195312, 82.22110748291016)",1,3.312896728515625,1,"(-14.830737113952637, -68.1263198852539, 715.7224731445312)",1
1917466211,1877306596,"(0.3303997218608856, 0.2400280237197876)","(-92.75753784179688, 232.5301055908203, 77.79694366455078)",1,3.02667236328125,1,"(-76.06623840332031, -62.31363296508789, 711.1765747070312)",1,"(0.3301268219947815, 0.19366143643856049)","(-92.90850830078125, 246.09054565429688, 82.73258972167969)",1,3.3030853271484375,1,"(-14.828356742858887, -68.1269760131836, 715.613525390625)",1
1917483118,1877323503,"(0.3291648328304291, 0.2445303052663803)","(-93.44081115722656, 231.21336364746094, 77.31775665283203)",1,3.0309295654296875,1,"(-76.06807708740234, -62.313804626464844, 711.0855712890625)",1,"(0.3294532001018524, 0.19127905368804932)","(-93.28124237060547, 246.78732299804688, 82.98617553710938)",1,3.3085784912109375,1,"(-14.83063793182373, -68.13199615478516, 715.5382080078125)",1
1917499915,1877340300,"(0.32537227869033813, 0.24745531380176544)","(-95.53922271728516, 230.35789489746094, 77.00643157958984)",1,3.040008544921875,1,"(-76.07804870605469, -62.32796096801758, 711.1101684570312)",1,"(0.3304968774318695, 0.1870841085910797)","(-92.70376586914062, 248.01417541503906, 83.43274688720703)",1,3.305328369140625,1,"(-14.839136123657227, -68.15868377685547, 715.5548706054688)",1
1917516177,1877356562,"(0.32564777135849, 0.2427581548690796)","(-95.38676452636719, 231.7316436767578, 77.50640106201172)",1,3.029052734375,1,"(-76.10295104980469, -62.343509674072266, 711.27490234375)",1,"(0.3318418264389038, 0.19109906256198883)","(-91.95962524414062, 246.8399658203125, 83.00537872314453)",1,3.3191070556640625,1,"(-14.858562469482422, -68.18045806884766, 715.7589721679688)",1
