device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
12326147037,12285999273,"(0.45260486006736755, 0.3966895043849945)","(-25.141376495361328, 186.7126007080078, 61.12076187133789)",1,4.163909912109375,1,"(-57.26954650878906, -43.22439956665039, 723.962646484375)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
12326162941,12286015177,"(0.45385023951530457, 0.3988562226295471)","(-24.452314376831055, 186.07888793945312, 60.890193939208984)",1,4.1655120849609375,1,"(-57.29275894165039, -43.242149353027344, 724.2025756835938)",1,"(0.42144373059272766, 0.3583924174308777)","(-42.38286209106445, 197.91305541992188, 65.1973876953125)",1,4.1295623779296875,1,"(5.396644592285156, -32.67737579345703, 725.931640625)",1
12326179940,12286032176,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
12326196957,12286049193,"(0.45347434282302856, 0.3866172432899475)","(-24.66029930114746, 189.65834045410156, 62.1929931640625)",1,4.17041015625,1,"(-57.393985748291016, -43.298057556152344, 724.8627319335938)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
12326212865,12286065101,"(0.45559975504875183, 0.38292673230171204)","(-23.48431968688965, 190.73768615722656, 62.58580780029297)",1,4.1634521484375,1,"(-57.477603912353516, -43.337162017822266, 725.3333129882812)",1,"(0.42437127232551575, 0.3519812822341919)","(-40.76304244995117, 199.7880401611328, 65.8798828125)",1,4.1215972900390625,1,"(5.354779243469238, -32.74638366699219, 727.1039428710938)",1
12326229865,12286082101,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
12326246877,12286099113,"(0.4517151713371277, 0.3961341679096222)","(-25.633642196655273, 186.875, 61.179931640625)",1,4.18389892578125,1,"(-57.54289245605469, -43.36733627319336, 725.7637939453125)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
12326262785,12286115022,"(0.449483722448349, 0.39334362745285034)","(-26.86829948425293, 187.69114685058594, 61.476905822753906)",1,4.1808319091796875,1,"(-57.55331802368164, -43.35068130493164, 725.62255859375)",1,"(0.42238372564315796, 0.3706626892089844)","(-41.86275100708008, 194.32444763183594, 63.89129638671875)",1,4.1593780517578125,1,"(5.287135124206543, -32.74924087524414, 727.2738037109375)",1
12326279785,12286132022,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
12326296797,12286149034,"(0.4465577006340027, 0.38944125175476074)","(-28.487289428710938, 188.83241271972656, 61.89241027832031)",1,4.19000244140625,1,"(-57.5105094909668, -43.299564361572266, 725.0623168945312)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
12326312705,12286164942,"(0.44907310605049133, 0.3946669101715088)","(-27.095489501953125, 187.3041229248047, 61.33610153198242)",1,4.1878814697265625,1,"(-57.487083435058594, -43.282981872558594, 724.7982788085938)",1,"(0.42171409726142883, 0.3566027581691742)","(-42.233280181884766, 198.43646240234375, 65.38787841796875)",1,4.132080078125,1,"(5.2919440269470215, -32.7044792175293, 726.451171875)",1
12326329709,12286181946,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
12326346717,12286198954,"(0.45077502727508545, 0.3979552090167999)","(-26.153837203979492, 186.34242248535156, 60.986083984375)",1,4.1838226318359375,1,"(-57.46076202392578, -43.2717399597168, 724.450927734375)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
12326362625,12286214862,"(0.4492195248603821, 0.39798620343208313)","(-27.014484405517578, 186.33335876464844, 60.982757568359375)",1,4.1769256591796875,1,"(-57.4743537902832, -43.28704833984375, 724.5274658203125)",1,"(0.4302983582019806, 0.3436722457408905)","(-37.483585357666016, 202.2181396484375, 66.76436614990234)",1,4.082000732421875,1,"(5.268049716949463, -32.70536422729492, 726.2391967773438)",1
12326379629,12286231866,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
12326396637,12286248874,"(0.4437061846256256, 0.3953667879104614)","(-30.06503677368164, 187.0994415283203, 61.26160430908203)",1,4.1568756103515625,1,"(-57.48305130004883, -43.30248260498047, 724.1986694335938)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
