device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
16448546818,16408405371,"(0.6232209205627441, 0.4540528953075409)","(69.26050567626953, 169.93603515625, 55.014556884765625)",1,2.836029052734375,1,"(-65.44861602783203, -78.24867248535156, 611.3367919921875)",1,"(0.6490269899368286, 0.41707274317741394)","(83.53898620605469, 180.7512969970703, 58.9510383605957)",1,2.7909698486328125,1,"(-8.481134414672852, -74.09141540527344, 614.298828125)",1
16448563753,16408422306,"(0.6240614652633667, 0.4607517421245575)","(69.7256088256836, 167.97686767578125, 54.3015251159668)",1,2.8435821533203125,1,"(-65.4507827758789, -78.21915435791016, 611.1444091796875)",1,"(0.6512115597724915, 0.4166633188724518)","(84.74776458740234, 180.87100219726562, 58.99462890625)",1,2.796630859375,1,"(-8.493220329284668, -74.05583190917969, 614.104736328125)",1
16448579712,16408438266,"(0.6242691278457642, 0.45371630787849426)","(69.84050750732422, 170.03440856933594, 55.05039596557617)",1,2.853912353515625,1,"(-65.42401885986328, -78.15943145751953, 610.7492065429688)",1,"(0.6485615372657776, 0.4216904938220978)","(83.281494140625, 179.40078735351562, 58.45947265625)",1,2.7878570556640625,1,"(-8.49720573425293, -73.99290466308594, 613.7455444335938)",1
16448596688,16408455242,"(0.6244276165962219, 0.45788270235061646)","(69.92817687988281, 168.81593322753906, 54.60691452026367)",1,2.8616485595703125,1,"(-65.41815948486328, -78.133544921875, 610.5960083007812)",1,"(0.6486634016036987, 0.41979700326919556)","(83.33783721923828, 179.9545440673828, 58.661041259765625)",1,2.78955078125,1,"(-8.496869087219238, -73.9681625366211, 613.5588989257812)",1
16448613673,16408472227,"(0.6216930747032166, 0.45968371629714966)","(68.41511535644531, 168.28919982910156, 54.41522216796875)",1,2.85638427734375,1,"(-65.3916244506836, -78.07585906982422, 610.30615234375)",1,"(0.6492747664451599, 0.4247206449508667)","(83.67607116699219, 178.51458740234375, 58.1369514465332)",1,2.797393798828125,1,"(-8.498785972595215, -73.91999053955078, 613.26513671875)",1
16448629636,16408488190,"(0.624025821685791, 0.45628461241722107)","(69.70580291748047, 169.2833251953125, 54.777061462402344)",1,2.8486480712890625,1,"(-65.37089538574219, -78.01293182373047, 609.9488525390625)",1,"(0.6483659744262695, 0.41911497712135315)","(83.17328643798828, 180.15402221679688, 58.73365783691406)",1,2.792144775390625,1,"(-8.49868106842041, -73.87051391601562, 612.94580078125)",1
16448646654,16408505208,"(0.6229314208030701, 0.4575921595096588)","(69.10029602050781, 168.90090942382812, 54.63785171508789)",1,2.85052490234375,1,"(-65.36265563964844, -77.98257446289062, 609.7731323242188)",1,"(0.650576114654541, 0.42261478304862976)","(84.39614868164062, 179.13047790527344, 58.36109161376953)",1,2.80157470703125,1,"(-8.501294136047363, -73.83464050292969, 612.7366943359375)",1
16448663593,16408522147,"(0.6244695782661438, 0.46166160702705383)","(69.95137786865234, 167.71070861816406, 54.20469284057617)",1,2.8571929931640625,1,"(-65.3580322265625, -77.93587493896484, 609.5198364257812)",1,"(0.6490736603736877, 0.42246460914611816)","(83.56480407714844, 179.1743927001953, 58.37709045410156)",1,2.793975830078125,1,"(-8.509689331054688, -73.79154968261719, 612.4763793945312)",1
16448679556,16408538110,"(0.6240721940994263, 0.4583701193332672)","(69.73151397705078, 168.67337036132812, 54.5550537109375)",1,2.8563232421875,1,"(-65.35298156738281, -77.90044403076172, 609.2293090820312)",1,"(0.6485296487808228, 0.4232378304004669)","(83.26385498046875, 178.9482421875, 58.29477310180664)",1,2.798797607421875,1,"(-8.51998233795166, -73.73638153076172, 612.2175903320312)",1
16448696523,16408555077,"(0.6225698590278625, 0.4587247371673584)","(68.9002914428711, 168.56964111328125, 54.51728057861328)",1,2.8576812744140625,1,"(-65.34097290039062, -77.87952423095703, 609.0968017578125)",1,"(0.6467686295509338, 0.42492449283599854)","(82.28941345214844, 178.4549560546875, 58.11522674560547)",1,2.8078460693359375,1,"(-8.52742862701416, -73.70478820800781, 612.0643310546875)",1
16448713513,16408572067,"(0.6212235689163208, 0.4610246419906616)","(68.15536499023438, 167.89700317382812, 54.2724494934082)",1,2.8442840576171875,1,"(-65.33467102050781, -77.85430908203125, 608.9752807617188)",1,"(0.6464131474494934, 0.43311408162117004)","(82.09272766113281, 176.05979919433594, 57.24347686767578)",1,2.8081207275390625,1,"(-8.53956127166748, -73.6768569946289, 611.9313354492188)",1
16448729476,16408588030,"(0.621290385723114, 0.45834091305732727)","(68.19233703613281, 168.68194580078125, 54.55813217163086)",1,2.8549346923828125,1,"(-65.33124542236328, -77.85484313964844, 608.81298828125)",1,"(0.6470804810523987, 0.4318208396434784)","(82.46199798583984, 176.43801879882812, 57.38118362426758)",1,2.8019866943359375,1,"(-8.5493803024292, -73.67691040039062, 611.7843017578125)",1
16448746489,16408605043,"(0.6220800280570984, 0.463690847158432)","(68.62921905517578, 167.11729431152344, 53.988677978515625)",1,2.8668670654296875,1,"(-65.32784271240234, -77.85541534423828, 608.7399291992188)",1,"(0.648446261882782, 0.4278823137283325)","(83.21770477294922, 177.5899200439453, 57.800418853759766)",1,2.798797607421875,1,"(-8.545095443725586, -73.68122863769531, 611.7003173828125)",1
16448763433,16408621987,"(0.6161710619926453, 0.46460965275764465)","(65.35985565185547, 166.84854125976562, 53.8908805847168)",1,2.856903076171875,1,"(-65.32308959960938, -77.8714599609375, 608.6021728515625)",1,"(0.6417579650878906, 0.4270235002040863)","(79.5170669555664, 177.841064453125, 57.89179611206055)",1,2.7962188720703125,1,"(-8.567767143249512, -73.71337890625, 611.56005859375)",1
16448779396,16408637950,"(0.5302503108978271, 0.5490412712097168)","(17.81985855102539, 142.15553283691406, 44.90336608886719)",1,2.8598785400390625,1,"(-65.63849639892578, -78.09562683105469, 608.7222900390625)",1,"(0.5551974773406982, 0.47396737337112427)","(31.62310028076172, 164.11178588867188, 52.894737243652344)",1,2.7994842529296875,1,"(-8.997867584228516, -73.92474365234375, 611.708984375)",1
16448796358,16408654912,"(0.5074491500854492, 0.5744428634643555)","(5.203975677490234, 134.72654724121094, 42.199440002441406)",1,2.8631439208984375,1,"(-65.6662368774414, -78.03953552246094, 607.9954833984375)",1,"(0.5236478447914124, 0.4958396553993225)","(14.166693687438965, 157.71499633789062, 50.5665168762207)",1,2.7964324951171875,1,"(-9.209563255310059, -73.9139404296875, 610.9473876953125)",1
16448813353,16408671907,"(0.4959495961666107, 0.5641752481460571)","(-1.1587508916854858, 137.72943115234375, 43.292354583740234)",1,2.8256378173828125,1,"(-65.7377700805664, -78.06084442138672, 607.9049072265625)",1,"(0.5170539021492004, 0.48607051372528076)","(10.518285751342773, 160.57208251953125, 51.606414794921875)",1,2.7615966796875,1,"(-9.204889297485352, -73.96525573730469, 610.9713134765625)",1
