device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
11081583175,11042957374,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.5479649305343628, 0.2532166838645935)","(27.621337890625, 228.6728973388672, 76.39310455322266)",1,4.8952484130859375,1,"(31.16690444946289, -87.43154907226562, 682.17919921875)",1
11081599815,11042974014,"(0.5467382073402405, 0.30028486251831055)","(26.942596435546875, 214.9073028564453, 71.38278198242188)",1,4.5985260009765625,1,"(-24.469341278076172, -82.9690933227539, 681.6987915039062)",1,"(0.5511168837547302, 0.2527157962322235)","(29.36529541015625, 228.81942749023438, 76.44640350341797)",1,4.936248779296875,1,"(31.14480209350586, -87.41047668457031, 681.938232421875)",1
11081615857,11042990056,"(0.5384699106216431, 0.30728650093078613)","(22.367712020874023, 212.8595733642578, 70.63753509521484)",1,4.6657867431640625,1,"(-24.46681785583496, -82.96823120117188, 681.50927734375)",1,"(0.5512073636054993, 0.25398164987564087)","(29.415395736694336, 228.44921875, 76.31167602539062)",1,4.9405517578125,1,"(31.130359649658203, -87.40513610839844, 681.8108520507812)",1
11081633095,11043007294,"(0.537147581577301, 0.31170374155044556)","(21.63609504699707, 211.5677032470703, 70.16735076904297)",1,4.667724609375,1,"(-24.467472076416016, -82.96588134765625, 681.4447021484375)",1,"(0.5448678731918335, 0.26335614919662476)","(25.90778160095215, 225.70748901367188, 75.31378936767578)",1,4.8516998291015625,1,"(31.127836227416992, -87.39854431152344, 681.7325439453125)",1
11081649735,11043023934,"(0.537437379360199, 0.3115157186985016)","(21.796466827392578, 211.62266540527344, 70.18733978271484)",1,4.6773834228515625,1,"(-24.45506477355957, -82.9402847290039, 681.1290893554688)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
11081665777,11043039976,"(0.5451939105987549, 0.30659613013267517)","(26.088146209716797, 213.06146240234375, 70.71101379394531)",1,4.6382293701171875,1,"(-24.43670082092285, -82.98270416259766, 680.9517822265625)",1,"(0.5476291179656982, 0.29252028465270996)","(27.435556411743164, 217.17813110351562, 72.20935821533203)",1,4.5979156494140625,1,"(31.118976593017578, -87.40248107910156, 681.2403564453125)",1
11081683015,11043057214,"(0.5394532680511475, 0.30746546387672424)","(22.911828994750977, 212.80723571777344, 70.61847686767578)",1,4.67333984375,1,"(-24.431474685668945, -82.98370361328125, 680.9395751953125)",1,"(0.5465229153633118, 0.29627010226249695)","(26.82351303100586, 216.08143615722656, 71.8101806640625)",1,4.6042633056640625,1,"(31.1275634765625, -87.40319061279297, 681.2315673828125)",1
11081699655,11043073854,"(0.5411787033081055, 0.309920072555542)","(23.866546630859375, 212.08934020996094, 70.35713958740234)",1,4.688262939453125,1,"(-24.432371139526367, -83.01404571533203, 680.9942626953125)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
11081715697,11043089896,"(0.5467401146888733, 0.2933337092399597)","(26.943675994873047, 216.9402313232422, 72.12271881103516)",1,4.654510498046875,1,"(-24.458614349365234, -83.02226257324219, 680.9730834960938)",1,"(0.5457028150558472, 0.3045363426208496)","(26.369722366333008, 213.66387939453125, 70.93026733398438)",1,4.6148223876953125,1,"(31.132213592529297, -87.43180084228516, 681.2161254882812)",1
11081732935,11043107134,"(0.540575385093689, 0.31174787878990173)","(23.532718658447266, 211.55477905273438, 70.16259765625)",1,4.7000274658203125,1,"(-24.461469650268555, -83.0147476196289, 680.852783203125)",1,"(0.5504549145698547, 0.26329389214515686)","(28.999061584472656, 225.72573852539062, 75.32038116455078)",1,4.9345703125,1,"(31.121828079223633, -87.4485092163086, 681.1456298828125)",1
11081749575,11043123774,"(0.5363861322402954, 0.3096095025539398)","(21.214771270751953, 212.18016052246094, 70.39021301269531)",1,4.6963958740234375,1,"(-24.493959426879883, -83.05010223388672, 680.9007568359375)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
11081765617,11043139816,"(0.5251310467720032, 0.3127674162387848)","(14.987373352050781, 211.25660705566406, 70.05404663085938)",1,4.7418212890625,1,"(-24.515644073486328, -83.02554321289062, 680.6754760742188)",1,"(0.538775622844696, 0.29539042711257935)","(22.536914825439453, 216.33871459960938, 71.90380859375)",1,4.638885498046875,1,"(31.053518295288086, -87.4547348022461, 680.9466552734375)",1
11081782855,11043157054,"(0.5003171563148499, 0.3430262506008148)","(1.25783109664917, 202.40708923339844, 66.83307647705078)",1,4.7271270751953125,1,"(-24.626169204711914, -83.0851821899414, 680.7311401367188)",1,"(0.520592451095581, 0.30980393290519714)","(12.47618579864502, 212.12330627441406, 70.36951446533203)",1,4.62860107421875,1,"(30.96092414855957, -87.49632263183594, 681.0448608398438)",1
