device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
11114197584,11075571869,"(0.7425104379653931, 0.41268011927604675)","(135.26341247558594, 182.03598022460938, 59.41860580444336)",1,3.8596649169921875,1,"(-21.434778213500977, -82.90560150146484, 680.0648193359375)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
11114213626,11075587911,"(0.7399901747703552, 0.413034051656723)","(133.86888122558594, 181.93247985839844, 59.38096618652344)",1,3.8710784912109375,1,"(-21.367412567138672, -82.87329864501953, 679.8240966796875)",1,"(0.7418181896209717, 0.42392218112945557)","(134.88038635253906, 178.74807739257812, 58.22198486328125)",1,3.7847900390625,1,"(33.724037170410156, -88.2260513305664, 679.9757690429688)",1
11114230864,11075605149,"(0.7391006946563721, 0.4105515778064728)","(133.37681579589844, 182.65846252441406, 59.64522933959961)",1,3.8883209228515625,1,"(-21.345911026000977, -82.84994506835938, 679.7308349609375)",1,"(0.742134690284729, 0.42284491658210754)","(135.0555419921875, 179.06312561035156, 58.336666107177734)",1,3.7782440185546875,1,"(33.748992919921875, -88.20711517333984, 679.9332885742188)",1
11114247504,11075621789,"(0.7449387907981873, 0.42303794622421265)","(136.60707092285156, 179.0066680908203, 58.316078186035156)",1,3.9017486572265625,1,"(-21.288211822509766, -82.78302764892578, 679.6903686523438)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
11114263546,11075637831,"(0.7397518157958984, 0.4227069616317749)","(133.737060546875, 179.1034698486328, 58.35125732421875)",1,3.9138336181640625,1,"(-21.207775115966797, -82.79995727539062, 680.040283203125)",1,"(0.7474586367607117, 0.42661914229393005)","(138.0012664794922, 177.9593505859375, 57.934871673583984)",1,3.803497314453125,1,"(33.925323486328125, -88.20694732666016, 680.2173461914062)",1
11114280784,11075655069,"(0.7420398592948914, 0.4138406217098236)","(135.00308227539062, 181.69654846191406, 59.2950553894043)",1,3.90618896484375,1,"(-21.176883697509766, -82.78514099121094, 680.1373291015625)",1,"(0.7472919225692749, 0.42721670866012573)","(137.90902709960938, 177.78456115722656, 57.87126922607422)",1,3.8150634765625,1,"(33.9483528137207, -88.2036361694336, 680.278564453125)",1
11114297424,11075671709,"(0.7393840551376343, 0.4112921953201294)","(133.5336456298828, 182.44186401367188, 59.56632614135742)",1,3.9225616455078125,1,"(-21.10390853881836, -82.74115753173828, 680.1669311523438)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
11114313466,11075687751,"(0.7417898774147034, 0.4117338955402374)","(134.86474609375, 182.31268310546875, 59.519287109375)",1,3.9421844482421875,1,"(-21.065635681152344, -82.77606964111328, 680.3668212890625)",1,"(0.7446527481079102, 0.4272487759590149)","(136.4487762451172, 177.77517700195312, 57.867855072021484)",1,3.8435821533203125,1,"(34.08665084838867, -88.21211242675781, 680.5398559570312)",1
11114330704,11075704989,"(0.7385886311531067, 0.4255612790584564)","(133.093505859375, 178.26873779296875, 58.04745101928711)",1,3.958648681640625,1,"(-21.05185890197754, -82.76183319091797, 680.495361328125)",1,"(0.7467124462127686, 0.42675840854644775)","(137.58837890625, 177.91860961914062, 57.9200553894043)",1,3.8553009033203125,1,"(34.095123291015625, -88.21336364746094, 680.6068725585938)",1
11114347344,11075721629,"(0.7362872958183289, 0.41757097840309143)","(131.8201446533203, 180.60556030273438, 58.898033142089844)",1,3.9481353759765625,1,"(-21.045629501342773, -82.78363037109375, 680.6912231445312)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
