device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
12495605102,12456979993,"(0.5879138112068176, 0.6101701855659485)","(49.72505569458008, 124.27767181396484, 38.396324157714844)",1,5.168670654296875,1,"(16.080265045166016, -26.866130828857422, 685.7949829101562)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
12495621876,12456996767,"(0.5898231267929077, 0.6051962971687317)","(50.78152084350586, 125.7323226928711, 38.92575454711914)",1,5.14324951171875,1,"(16.111642837524414, -26.931903839111328, 685.544921875)",1,"(0.5772984027862549, 0.583751380443573)","(43.851593017578125, 132.00413513183594, 41.20857620239258)",1,5.527191162109375,1,"(94.00082397460938, -21.218732833862305, 678.9436645507812)",1
12495638277,12457013168,"(0.5892401933670044, 0.6034831404685974)","(50.45895004272461, 126.23336791992188, 39.10813522338867)",1,5.1325225830078125,1,"(16.12681007385254, -26.94541358947754, 685.3463745117188)",1,"(0.5744051337242126, 0.5806002616882324)","(42.25076675415039, 132.9257049560547, 41.543983459472656)",1,5.527740478515625,1,"(94.0038070678711, -21.224971771240234, 678.8658447265625)",1
12495655018,12457029909,"(0.5894836187362671, 0.6016673445701599)","(50.593650817871094, 126.7644271850586, 39.30144119262695)",1,5.1037445068359375,1,"(16.129796981811523, -26.942731857299805, 685.130126953125)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
12495671796,12457046687,"(0.592155933380127, 0.6007869839668274)","(52.07217788696289, 127.02190399169922, 39.395118713378906)",1,5.0749053955078125,1,"(16.118736267089844, -26.93279457092285, 685.0696411132812)",1,"(0.5785802602767944, 0.5842898488044739)","(44.560821533203125, 131.8466796875, 41.151206970214844)",1,5.451568603515625,1,"(93.98502349853516, -21.251306533813477, 678.5313110351562)",1
12495688243,12457063134,"(0.5933640003204346, 0.5982955694198608)","(52.740684509277344, 127.75055694580078, 39.660335540771484)",1,5.0718994140625,1,"(16.11053466796875, -26.935802459716797, 685.0371704101562)",1,"(0.5803539752960205, 0.5850228071212769)","(45.54220962524414, 131.63232421875, 41.07318878173828)",1,5.4453125,1,"(93.98345947265625, -21.256391525268555, 678.5118408203125)",1
12495704934,12457079825,"(0.5905463695526123, 0.5929807424545288)","(51.181671142578125, 129.304931640625, 40.22610092163086)",1,5.046630859375,1,"(16.111963272094727, -26.968896865844727, 685.1043090820312)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
12495721716,12457096607,"(0.5907551646232605, 0.5978467464447021)","(51.29713821411133, 127.88182830810547, 39.70810317993164)",1,5.01776123046875,1,"(16.119342803955078, -27.002674102783203, 685.2670288085938)",1,"(0.5780949592590332, 0.5762271285057068)","(44.29230499267578, 134.20472717285156, 42.00947952270508)",1,5.3940582275390625,1,"(94.05303192138672, -21.343183517456055, 678.7725219726562)",1
12495738112,12457113003,"(0.5931118726730347, 0.598147988319397)","(52.60114669799805, 127.7936782836914, 39.67603302001953)",1,5.000091552734375,1,"(16.130826950073242, -27.018911361694336, 685.3290405273438)",1,"(0.5786387324333191, 0.5788183808326721)","(44.593196868896484, 133.44686889648438, 41.733642578125)",1,5.3803863525390625,1,"(94.05839538574219, -21.348722457885742, 678.791259765625)",1
12495754849,12457129740,"(0.5923086404800415, 0.5949516892433167)","(52.15675735473633, 128.72848510742188, 40.01627731323242)",1,4.9790496826171875,1,"(16.14232635498047, -27.020601272583008, 685.2200927734375)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
12495771636,12457146527,"(0.5934609174728394, 0.5900776386260986)","(52.79427719116211, 130.1539764404297, 40.53511428833008)",1,4.9691925048828125,1,"(16.149702072143555, -27.00111961364746, 685.0663452148438)",1,"(0.577731192111969, 0.5812615752220154)","(44.09104919433594, 132.7322998046875, 41.47358703613281)",1,5.3375396728515625,1,"(94.05570983886719, -21.33956527709961, 678.50146484375)",1
